repayment_id,loan_id,due_date,amount_due,amount_paid,payment_status
R300057,L200057,2024-09-26,30500.0,28218.0,Partial
R300058,L200058,2026-05-03,19238.0,14774.0,Partial
R300059,L200059,2024-04-27,43854.0,31356.0,Partial
R300060,L200060,2028-04-27,3702.0,931.0,Partial
R300061,L200061,2026-02-16,27292.0,2843.0,Partial
R300062,L200062,2024-02-21,81083.0,51955.0,Partial
R300063,L200063,2026-05-26,17150.0,12843.0,Partial
R300064,L200064,2026-03-17,2179.0,512.0,Partial
R300065,L200065,2026-04-06,26417.0,24467.0,Partial
R300066,L200066,2024-10-02,15183.0,9477.0,Partial
R300067,L200067,2027-06-22,22717.0,14702.0,Partial
R300068,L200068,2027-04-23,43408.0,30053.0,Partial
R300069,L200069,2026-07-11,7833.0,6709.0,Partial
R300070,L200070,2026-01-01,16650.0,13883.0,Partial
R300071,L200071,2026-08-18,3950.0,2715.0,Partial
R300072,L200072,2024-02-14,68500.0,60548.0,Partial
R300073,L200073,2028-01-06,3155.0,2592.0,Partial
R300074,L200074,2024-05-10,13354.0,11830.0,Partial
R300075,L200075,2023-10-07,14417.0,12749.0,Partial
R300076,L200076,2024-09-04,73633.0,69398.0,Partial
R300077,L200077,2024-02-24,81111.0,50738.0,Partial
R300078,L200078,2029-04-27,46575.0,41723.0,Partial
R300079,L200079,2029-07-16,3267.0,2462.0,Partial
R300080,L200080,2026-01-26,58542.0,43034.0,Partial
R300081,L200081,2025-08-08,10643.0,8759.0,Partial
R300082,L200082,2026-04-13,10361.0,8687.0,Partial
R300083,L200083,2026-03-13,34333.0,29024.0,Partial
R300084,L200084,2027-11-18,36679.0,30999.0,Partial
R300085,L200085,2026-10-08,8479.0,7834.0,Partial
R300086,L200086,2026-12-04,36433.0,28784.0,Partial
R300087,L200087,2025-02-09,63875.0,55821.0,Partial
R300088,L200088,2024-07-07,18312.0,17273.0,Partial
R300089,L200089,2028-01-03,7750.0,6683.0,Partial
R300090,L200090,2028-05-04,19905.0,16216.0,Partial
R300091,L200091,2027-12-06,8683.0,5841.0,Partial
R300092,L200092,2024-09-26,73333.0,57742.0,Partial
R300093,L200093,2028-04-25,5238.0,3690.0,Partial
R300094,L200094,2025-06-23,116083.0,112882.0,Partial
R300095,L200095,2026-07-08,29774.0,2289.0,Partial
R300096,L200096,2026-11-24,19639.0,12426.0,Partial
R300097,L200097,2026-09-14,27875.0,18285.0,Partial
R300098,L200098,2024-01-01,49250.0,34397.0,Partial
R300099,L200099,2027-03-11,13383.0,11556.0,Partial
R300100,L200100,2027-04-25,11608.0,11079.0,Partial
R300101,L200101,2024-07-05,18444.0,14799.0,Partial
R300102,L200102,2029-02-04,2400.0,2277.0,Partial
R300103,L200103,2028-07-01,5036.0,4373.0,Partial
R300104,L200104,2026-05-08,6800.0,6385.0,Partial
R300105,L200105,2026-08-26,3500.0,3310.0,Partial
R300106,L200106,2025-05-14,19472.0,17306.0,Partial
R300107,L200107,2028-07-27,8179.0,4937.0,Partial
R300108,L200108,2027-10-12,14417.0,13575.0,Partial
R300109,L200109,2028-09-30,2700.0,2281.0,Partial
R300110,L200110,2029-03-16,32367.0,27271.0,Partial
R300111,L200111,2026-09-23,20367.0,15817.0,Partial
R300112,L200112,2029-03-14,46225.0,46460.0,Paid
R300113,L200113,2026-01-16,16750.0,11524.0,Partial
R300114,L200114,2024-09-06,11472.0,8818.0,Partial
R300115,L200115,2027-05-17,9000.0,9108.0,Paid
R300116,L200116,2027-06-01,38017.0,9277.0,Partial
R300117,L200117,2024-10-03,14438.0,10964.0,Partial
R300118,L200118,2025-10-25,121750.0,94870.0,Partial
R300119,L200119,2028-03-13,54988.0,49685.0,Partial
R300120,L200120,2026-11-30,1017.0,777.0,Partial
R300121,L200121,2025-03-29,117167.0,87855.0,Partial
R300122,L200122,2023-10-25,160458.0,125659.0,Partial
R300123,L200123,2026-12-06,65024.0,39203.0,Partial
R300124,L200124,2027-02-15,4179.0,3606.0,Partial
R300125,L200125,2029-01-20,2125.0,1890.0,Partial
R300126,L200126,2025-05-12,28967.0,20415.0,Partial
R300127,L200127,2025-12-23,9881.0,6794.0,Partial
R300128,L200128,2026-05-17,204250.0,189605.0,Partial
R300129,L200129,2027-01-25,93667.0,72316.0,Partial
R300130,L200130,2026-02-27,12417.0,7858.0,Partial
R300131,L200131,2024-10-16,119500.0,111237.0,Partial
R300132,L200132,2026-05-05,16500.0,10207.0,Partial
R300133,L200133,2023-10-30,74500.0,64492.0,Partial
R300134,L200134,2027-01-31,4900.0,3492.0,Partial
R300135,L200135,2025-02-09,72667.0,68029.0,Partial
R300136,L200136,2025-09-12,31104.0,20180.0,Partial
R300137,L200137,2025-11-19,65690.0,57043.0,Partial
R300138,L200138,2025-01-25,67750.0,64312.0,Partial
R300139,L200139,2026-02-17,45361.0,34630.0,Partial
R300140,L200140,2027-12-20,31429.0,22299.0,Partial
R300141,L200141,2026-05-20,60479.0,39075.0,Partial
R300142,L200142,2028-04-17,46942.0,8263.0,Partial
R300143,L200143,2025-02-26,282667.0,182717.0,Partial
R300144,L200144,2024-09-07,11854.0,10985.0,Partial
R300145,L200145,2025-11-27,12083.0,8713.0,Partial
R300146,L200146,2027-10-07,6642.0,5556.0,Partial
R300147,L200147,2026-01-13,9146.0,6968.0,Partial
R300148,L200148,2024-12-15,33972.0,26378.0,Partial
R300149,L200149,2026-02-06,66167.0,42724.0,Partial
R300150,L200150,2025-10-03,12083.0,9709.0,Partial
R300151,L200151,2024-08-29,2250.0,2044.0,Partial
R300152,L200152,2027-10-30,5933.0,4827.0,Partial
R300153,L200153,2025-12-27,219417.0,148297.0,Partial
R300154,L200154,2024-01-22,2194.0,2212.0,Paid
R300155,L200155,2024-06-13,39250.0,33020.0,Partial
R300156,L200156,2026-12-20,2158.0,1597.0,Partial
R300157,L200157,2025-01-15,53222.0,37487.0,Partial
R300158,L200158,2028-06-15,21033.0,15697.0,Partial
R300159,L200159,2025-01-06,3375.0,2633.0,Partial
R300160,L200160,2026-02-07,15917.0,10197.0,Partial
R300161,L200161,2026-07-16,15583.0,5401.0,Partial
R300162,L200162,2025-06-22,24464.0,22644.0,Partial
R300163,L200163,2029-03-12,1467.0,1385.0,Partial
R300164,L200164,2027-04-07,57762.0,45511.0,Partial
R300165,L200165,2027-04-06,7183.0,6600.0,Partial
R300166,L200166,2025-08-21,16056.0,13084.0,Partial
R300167,L200167,2026-07-28,83250.0,50730.0,Partial
R300168,L200168,2024-10-22,28083.0,21597.0,Partial
R300169,L200169,2026-06-15,99208.0,76002.0,Partial
R300170,L200170,2026-04-17,2958.0,2811.0,Partial
R300171,L200171,2028-02-21,12107.0,8208.0,Partial
R300172,L200172,2025-06-01,51167.0,44736.0,Partial
R300173,L200173,2025-08-13,39917.0,28109.0,Partial
R300174,L200174,2026-07-19,2361.0,1733.0,Partial
R300175,L200175,2025-11-02,28964.0,27238.0,Partial
R300176,L200176,2023-10-07,126917.0,85314.0,Partial
R300177,L200177,2026-11-01,7786.0,7346.0,Partial
R300178,L200178,2027-02-02,16500.0,14525.0,Partial
R300179,L200179,2025-05-27,12917.0,9610.0,Partial
R300180,L200180,2026-02-04,22812.0,19127.0,Partial
R300181,L200181,2027-08-05,41142.0,26988.0,Partial
R300182,L200182,2026-10-22,5562.0,3545.0,Partial
R300183,L200183,2026-04-14,109833.0,70767.0,Partial
R300184,L200184,2028-07-05,19952.0,13907.0,Partial
R300185,L200185,2027-03-03,9008.0,7855.0,Partial
R300186,L200186,2027-02-24,2658.0,1922.0,Partial
R300187,L200187,2026-09-11,29417.0,23217.0,Partial
R300188,L200188,2025-11-25,16528.0,14562.0,Partial
R300189,L200189,2024-09-25,10125.0,9488.0,Partial
R300190,L200190,2026-06-02,8619.0,8088.0,Partial
R300191,L200191,2025-03-22,13350.0,3611.0,Partial
R300192,L200192,2024-12-02,11033.0,7219.0,Partial
R300193,L200193,2027-06-04,3317.0,3021.0,Partial
R300194,L200194,2027-11-28,3964.0,3093.0,Partial
R300195,L200195,2025-06-30,473583.0,355685.0,Partial
R300196,L200196,2024-01-10,81000.0,68510.0,Partial
R300197,L200197,2026-06-07,3542.0,3090.0,Partial
R300198,L200198,2027-03-03,49667.0,30321.0,Partial
R300199,L200199,2026-08-05,47972.0,37968.0,Partial
R300200,L200200,2026-08-06,42417.0,35885.0,Partial
R300201,L200201,2027-06-23,6333.0,2563.0,Partial
R300202,L200202,2026-09-28,21117.0,17431.0,Partial
R300203,L200203,2025-06-04,32667.0,22056.0,Partial
R300204,L200204,2025-08-07,54458.0,35131.0,Partial
R300205,L200205,2025-06-09,7333.0,6179.0,Partial
R300206,L200206,2026-10-06,81750.0,13668.0,Partial
R300207,L200207,2025-09-24,124639.0,78412.0,Partial
R300208,L200208,2024-06-30,3208.0,1312.0,Partial
R300209,L200209,2025-05-16,143167.0,134040.0,Partial
R300210,L200210,2027-09-20,6381.0,5141.0,Partial
R300211,L200211,2026-10-06,53000.0,13178.0,Partial
R300212,L200212,2025-03-27,27650.0,26255.0,Partial
R300213,L200213,2027-02-21,31708.0,29458.0,Partial
R300214,L200214,2024-05-19,14771.0,13253.0,Partial
R300215,L200215,2028-09-07,20900.0,14203.0,Partial
R300216,L200216,2024-05-09,51333.0,52789.0,Paid
R300217,L200217,2024-05-15,5972.0,5423.0,Partial
R300218,L200218,2024-05-27,170250.0,104827.0,Partial
R300219,L200219,2027-02-11,20143.0,16079.0,Partial
R300220,L200220,2024-08-14,57000.0,35508.0,Partial
R300221,L200221,2026-02-14,11333.0,7427.0,Partial
R300222,L200222,2025-08-31,89750.0,86660.0,Partial
R300223,L200223,2027-07-10,5567.0,4267.0,Partial
R300224,L200224,2025-06-29,11083.0,9246.0,Partial
R300225,L200225,2025-04-21,72667.0,69009.0,Partial
R300226,L200226,2029-04-23,3550.0,3134.0,Partial
R300227,L200227,2024-06-05,11896.0,10095.0,Partial
R300228,L200228,2026-02-28,12167.0,12214.0,Paid
R300229,L200229,2027-03-13,7611.0,7058.0,Partial
R300230,L200230,2028-01-06,5940.0,4229.0,Partial
R300231,L200231,2027-05-07,5833.0,4074.0,Partial
R300232,L200232,2027-08-11,5950.0,4713.0,Partial
R300233,L200233,2025-12-02,10167.0,6708.0,Partial
R300234,L200234,2025-12-23,6583.0,4690.0,Partial
R300235,L200235,2024-07-10,33167.0,34050.0,Paid
R300236,L200236,2024-01-17,11333.0,10167.0,Partial
R300237,L200237,2026-07-25,21250.0,17201.0,Partial
R300238,L200238,2023-12-09,167583.0,121907.0,Partial
R300239,L200239,2025-09-15,76417.0,66075.0,Partial
R300240,L200240,2024-08-25,47833.0,43191.0,Partial
R300241,L200241,2027-12-19,14488.0,10662.0,Partial
R300242,L200242,2027-05-18,17033.0,11755.0,Partial
R300243,L200243,2026-11-30,88104.0,70792.0,Partial
R300244,L200244,2029-03-12,5567.0,4826.0,Partial
R300245,L200245,2025-01-22,22167.0,19219.0,Partial
R300246,L200246,2028-01-04,4992.0,3842.0,Partial
R300247,L200247,2026-01-28,41375.0,37178.0,Partial
R300248,L200248,2026-11-12,20389.0,12336.0,Partial
R300249,L200249,2027-07-08,3267.0,2178.0,Partial
R300250,L200250,2024-08-07,56917.0,53490.0,Partial
R300251,L200251,2025-11-16,105000.0,82793.0,Partial
R300252,L200252,2028-04-11,30726.0,20758.0,Partial
R300253,L200253,2026-05-19,4150.0,3615.0,Partial
R300254,L200254,2023-11-23,116333.0,90907.0,Partial
R300255,L200255,2027-09-17,19400.0,11855.0,Partial
R300256,L200256,2025-02-13,138042.0,91126.0,Partial
R300257,L200257,2025-06-29,143292.0,98472.0,Partial
R300258,L200258,2027-04-11,13333.0,5178.0,Partial
R300259,L200259,2027-08-04,658.0,578.0,Partial
R300260,L200260,2024-10-21,28667.0,21404.0,Partial
R300261,L200261,2029-01-25,18375.0,13532.0,Partial
R300262,L200262,2025-09-26,19083.0,17502.0,Partial
R300263,L200263,2028-07-25,12500.0,9303.0,Partial
R300264,L200264,2025-07-02,11000.0,9115.0,Partial
R300265,L200265,2027-08-10,7488.0,6730.0,Partial
R300266,L200266,2027-05-15,7783.0,3244.0,Partial
R300267,L200267,2028-04-19,34917.0,31511.0,Partial
R300268,L200268,2026-09-19,7767.0,7201.0,Partial
R300269,L200269,2026-07-10,12292.0,7868.0,Partial
R300270,L200270,2025-12-30,105833.0,77177.0,Partial
R300271,L200271,2027-09-14,5619.0,1808.0,Partial
R300272,L200272,2025-02-02,59667.0,49713.0,Partial
R300273,L200273,2026-09-23,33405.0,8786.0,Partial
R300274,L200274,2025-10-02,3417.0,3082.0,Partial
R300275,L200275,2027-07-21,3233.0,2640.0,Partial
R300276,L200276,2025-09-21,117556.0,109500.0,Partial
R300277,L200277,2028-08-01,3958.0,2750.0,Partial
R300278,L200278,2027-03-01,3393.0,3098.0,Partial
R300279,L200279,2026-06-12,6750.0,4316.0,Partial
R300280,L200280,2025-08-05,186250.0,174770.0,Partial
R300281,L200281,2024-02-27,12278.0,6241.0,Partial
R300282,L200282,2024-01-21,134083.0,90104.0,Partial
R300283,L200283,2025-06-05,8881.0,6861.0,Partial
R300284,L200284,2027-10-29,6869.0,5328.0,Partial
R300285,L200285,2026-12-05,34250.0,8032.0,Partial
R300286,L200286,2025-02-25,9250.0,7941.0,Partial
R300287,L200287,2024-11-21,8350.0,5385.0,Partial
R300288,L200288,2024-05-10,7229.0,985.0,Partial
R300289,L200289,2025-10-10,10938.0,6974.0,Partial
R300290,L200290,2025-06-11,66583.0,42814.0,Partial
R300291,L200291,2027-05-19,13308.0,11031.0,Partial
R300292,L200292,2026-01-01,22500.0,17193.0,Partial
R300293,L200293,2024-06-28,5972.0,4746.0,Partial
R300294,L200294,2026-05-15,53278.0,46390.0,Partial
R300295,L200295,2027-05-16,4400.0,3209.0,Partial
R300296,L200296,2029-07-25,5350.0,4667.0,Partial
R300297,L200297,2028-10-24,5783.0,4202.0,Partial
R300298,L200298,2025-10-30,40729.0,38384.0,Partial
R300299,L200299,2027-02-04,24944.0,24966.0,Paid
R300300,L200300,2026-07-11,108833.0,104835.0,Partial
R300301,L200301,2024-12-17,74521.0,70496.0,Partial
R300302,L200302,2027-03-14,13202.0,12153.0,Partial
R300303,L200303,2026-10-17,25267.0,21410.0,Partial
R300304,L200304,2027-06-18,2233.0,1601.0,Partial
R300305,L200305,2029-07-27,27025.0,18730.0,Partial
R300306,L200306,2025-07-22,64250.0,51058.0,Partial
R300307,L200307,2026-06-27,5417.0,4185.0,Partial
R300308,L200308,2024-12-16,6333.0,4859.0,Partial
R300309,L200309,2027-08-10,14583.0,11927.0,Partial
R300310,L200310,2027-02-28,47417.0,35323.0,Partial
R300311,L200311,2027-08-13,10783.0,8969.0,Partial
R300312,L200312,2026-02-03,6800.0,4549.0,Partial
R300313,L200313,2027-05-21,14125.0,1813.0,Partial
R300314,L200314,2023-05-13,67083.0,59007.0,Partial
R300315,L200315,2024-04-29,32833.0,24264.0,Partial
R300316,L200316,2025-10-23,26125.0,21034.0,Partial
R300317,L200317,2026-07-11,96389.0,73673.0,Partial
R300318,L200318,2024-09-16,50729.0,37243.0,Partial
R300319,L200319,2024-12-12,20750.0,18243.0,Partial
R300320,L200320,2024-08-09,19062.0,5809.0,Partial
R300321,L200321,2024-04-29,58889.0,45453.0,Partial
R300322,L200322,2024-09-20,52700.0,48280.0,Partial
R300323,L200323,2027-07-28,14979.0,10357.0,Partial
R300324,L200324,2028-03-14,3155.0,2836.0,Partial
R300325,L200325,2025-04-30,17000.0,4320.0,Partial
R300326,L200326,2025-05-30,10429.0,7417.0,Partial
R300327,L200327,2027-09-13,35774.0,9580.0,Partial
R300328,L200328,2027-01-24,7619.0,5906.0,Partial
R300329,L200329,2025-11-17,166833.0,149069.0,Partial
R300330,L200330,2027-11-23,2183.0,2244.0,Paid
R300331,L200331,2024-09-02,12183.0,10320.0,Partial
R300332,L200332,2027-08-21,28117.0,19592.0,Partial
R300333,L200333,2026-03-21,178000.0,79611.0,Partial
R300334,L200334,2028-04-17,27369.0,19714.0,Partial
R300335,L200335,2028-06-16,11467.0,8834.0,Partial
R300336,L200336,2029-04-24,19283.0,11596.0,Partial
R300337,L200337,2024-11-16,10917.0,9914.0,Partial
R300338,L200338,2025-08-18,5771.0,3751.0,Partial
R300339,L200339,2025-01-14,53111.0,40301.0,Partial
R300340,L200340,2024-11-19,63000.0,53425.0,Partial
R300341,L200341,2024-02-14,45222.0,7607.0,Partial
R300342,L200342,2028-01-05,13976.0,13085.0,Partial
R300343,L200343,2027-04-08,7133.0,5150.0,Partial
R300344,L200344,2023-09-22,44583.0,36480.0,Partial
R300345,L200345,2024-04-22,70458.0,65458.0,Partial
R300346,L200346,2024-05-12,14722.0,4429.0,Partial
R300347,L200347,2026-07-27,72312.0,49708.0,Partial
R300348,L200348,2028-04-30,6595.0,3067.0,Partial
R300349,L200349,2024-12-01,2433.0,1518.0,Partial
R300350,L200350,2023-10-03,35208.0,33426.0,Partial
R300351,L200351,2026-03-22,108083.0,90473.0,Partial
R300352,L200352,2024-11-30,10750.0,7250.0,Partial
R300353,L200353,2024-01-20,31667.0,6209.0,Partial
R300354,L200354,2025-12-09,19917.0,6789.0,Partial
R300355,L200355,2025-07-20,89917.0,76519.0,Partial
R300356,L200356,2024-04-05,28194.0,19332.0,Partial
R300357,L200357,2026-08-16,7119.0,4681.0,Partial
R300358,L200358,2027-07-07,6875.0,4652.0,Partial
R300359,L200359,2024-09-29,34333.0,3227.0,Partial
R300360,L200360,2024-03-15,17625.0,12228.0,Partial
R300361,L200361,2026-02-24,63042.0,57275.0,Partial
R300362,L200362,2025-05-28,13611.0,12340.0,Partial
R300363,L200363,2025-08-15,5438.0,4679.0,Partial
R300364,L200364,2026-02-21,13214.0,8093.0,Partial
R300365,L200365,2028-10-04,1292.0,849.0,Partial
R300366,L200366,2027-11-25,14717.0,12868.0,Partial
R300367,L200367,2025-11-26,7354.0,6806.0,Partial
R300368,L200368,2026-11-01,65396.0,41523.0,Partial
R300369,L200369,2025-03-06,159528.0,100693.0,Partial
R300370,L200370,2026-06-25,11500.0,1067.0,Partial
R300371,L200371,2023-11-23,124917.0,89278.0,Partial
R300372,L200372,2026-07-10,8450.0,6518.0,Partial
R300373,L200373,2024-09-26,58333.0,37460.0,Partial
R300374,L200374,2025-05-02,156792.0,139005.0,Partial
R300375,L200375,2026-07-02,25798.0,23199.0,Partial
R300376,L200376,2025-09-25,18238.0,12824.0,Partial
R300377,L200377,2027-01-04,23667.0,14874.0,Partial
R300378,L200378,2027-08-11,7333.0,6299.0,Partial
R300379,L200379,2026-10-08,9583.0,8357.0,Partial
R300380,L200380,2026-08-19,107917.0,83625.0,Partial
R300381,L200381,2027-09-29,19417.0,17591.0,Partial
R300382,L200382,2026-09-06,27111.0,23284.0,Partial
R300383,L200383,2025-06-05,3722.0,3169.0,Partial
R300384,L200384,2023-07-17,259417.0,208298.0,Partial
R300385,L200385,2026-07-22,14667.0,13521.0,Partial
R300386,L200386,2026-02-02,4750.0,3808.0,Partial
R300387,L200387,2026-03-05,10938.0,9403.0,Partial
R300388,L200388,2027-05-13,11883.0,9898.0,Partial
R300389,L200389,2026-07-07,121979.0,90135.0,Partial
R300390,L200390,2026-04-17,33458.0,32480.0,Partial
R300391,L200391,2023-07-08,34250.0,23100.0,Partial
R300392,L200392,2026-05-02,127625.0,119595.0,Partial
R300393,L200393,2026-12-28,5025.0,3239.0,Partial
R300394,L200394,2027-03-20,23167.0,17512.0,Partial
R300395,L200395,2026-10-31,24458.0,15099.0,Partial
R300396,L200396,2024-10-28,13917.0,9149.0,Partial
R300397,L200397,2026-06-16,37229.0,29142.0,Partial
R300398,L200398,2025-03-31,40861.0,31154.0,Partial
R300399,L200399,2024-10-27,64667.0,59780.0,Partial
R300400,L200400,2027-07-01,5417.0,4340.0,Partial
R300401,L200401,2027-08-09,6583.0,5119.0,Partial
R300402,L200402,2027-02-12,68500.0,47887.0,Partial
R300403,L200403,2025-05-06,9396.0,3540.0,Partial
R300404,L200404,2025-07-27,24667.0,19751.0,Partial
R300405,L200405,2025-06-21,13000.0,11837.0,Partial
R300406,L200406,2024-11-05,36625.0,33450.0,Partial
R300407,L200407,2028-08-08,5533.0,4124.0,Partial
R300408,L200408,2025-01-04,45688.0,33326.0,Partial
R300409,L200409,2025-11-27,193083.0,167322.0,Partial
R300410,L200410,2026-11-15,24875.0,15599.0,Partial
R300411,L200411,2026-04-19,24583.0,16696.0,Partial
R300412,L200412,2027-06-22,19800.0,13854.0,Partial
R300413,L200413,2025-03-28,8850.0,6980.0,Partial
R300414,L200414,2025-03-04,78833.0,52263.0,Partial
R300415,L200415,2025-10-02,36958.0,25182.0,Partial
R300416,L200416,2024-10-14,4972.0,3187.0,Partial
R300417,L200417,2026-07-04,15369.0,11816.0,Partial
R300418,L200418,2026-07-04,45000.0,35878.0,Partial
R300419,L200419,2026-11-03,10500.0,728.0,Partial
R300420,L200420,2024-03-06,129167.0,81917.0,Partial
R300421,L200421,2025-06-17,4688.0,4241.0,Partial
R300422,L200422,2026-05-01,122667.0,101358.0,Partial
R300423,L200423,2025-03-01,22361.0,21203.0,Partial
R300424,L200424,2024-12-11,18333.0,13850.0,Partial
R300425,L200425,2025-08-14,18883.0,12627.0,Partial
R300426,L200426,2027-02-05,5361.0,1647.0,Partial
R300427,L200427,2027-06-13,14342.0,9822.0,Partial
R300428,L200428,2025-03-11,18389.0,14043.0,Partial
R300429,L200429,2027-06-26,4425.0,3382.0,Partial
R300430,L200430,2026-11-07,2167.0,1962.0,Partial
R300431,L200431,2026-12-23,27300.0,20147.0,Partial
R300432,L200432,2025-04-19,332917.0,290167.0,Partial
R300433,L200433,2024-09-07,13917.0,11888.0,Partial
R300434,L200434,2025-01-06,4783.0,4317.0,Partial
R300435,L200435,2024-04-10,6222.0,4918.0,Partial
R300436,L200436,2024-12-15,141722.0,107622.0,Partial
R300437,L200437,2026-11-30,6438.0,4807.0,Partial
R300438,L200438,2026-10-25,43208.0,30528.0,Partial
R300439,L200439,2026-11-19,17396.0,15960.0,Partial
R300440,L200440,2027-06-30,2857.0,2379.0,Partial
R300441,L200441,2026-01-03,7396.0,1501.0,Partial
R300442,L200442,2027-06-16,4625.0,3106.0,Partial
R300443,L200443,2026-01-17,208583.0,149047.0,Partial
R300444,L200444,2026-12-05,16558.0,14523.0,Partial
R300445,L200445,2024-03-18,48389.0,42123.0,Partial
R300446,L200446,2026-09-16,158194.0,135515.0,Partial
R300447,L200447,2026-11-10,11964.0,11035.0,Partial
R300448,L200448,2025-09-13,22917.0,16463.0,Partial
R300449,L200449,2029-06-06,16733.0,13905.0,Partial
R300450,L200450,2026-07-22,4458.0,3167.0,Partial
R300451,L200451,2027-02-26,55683.0,51917.0,Partial
R300452,L200452,2027-11-10,12592.0,10347.0,Partial
R300453,L200453,2025-05-12,51062.0,45332.0,Partial
R300454,L200454,2026-06-14,2940.0,1823.0,Partial
R300455,L200455,2026-08-14,13125.0,11480.0,Partial
R300456,L200456,2025-07-27,12000.0,10232.0,Partial
R300457,L200457,2026-09-22,12708.0,7857.0,Partial
R300458,L200458,2025-05-27,3024.0,2431.0,Partial
R300459,L200459,2027-04-01,1883.0,1810.0,Partial
R300460,L200460,2026-10-04,19500.0,18356.0,Partial
R300461,L200461,2028-03-10,1592.0,1467.0,Partial
R300462,L200462,2024-07-13,78750.0,31498.0,Partial
R300463,L200463,2025-11-16,6845.0,1830.0,Partial
R300464,L200464,2027-11-15,6008.0,3190.0,Partial
R300465,L200465,2028-06-11,14345.0,2859.0,Partial
R300466,L200466,2027-06-17,6667.0,6326.0,Partial
R300467,L200467,2027-11-14,4125.0,618.0,Partial
R300468,L200468,2026-06-20,26048.0,24337.0,Partial
R300469,L200469,2026-06-26,243292.0,149173.0,Partial
R300470,L200470,2026-03-28,13639.0,11883.0,Partial
R300471,L200471,2025-09-07,74375.0,66193.0,Partial
R300472,L200472,2025-07-13,101833.0,70820.0,Partial
R300473,L200473,2025-09-01,7625.0,6500.0,Partial
R300474,L200474,2025-12-28,70417.0,55738.0,Partial
R300475,L200475,2025-09-03,8708.0,7498.0,Partial
R300476,L200476,2023-07-26,201417.0,150920.0,Partial
R300477,L200477,2026-07-12,9655.0,9057.0,Partial
R300478,L200478,2026-11-09,124028.0,98809.0,Partial
R300479,L200479,2026-02-19,7643.0,7160.0,Partial
R300480,L200480,2026-10-20,5667.0,5328.0,Partial
