policy_id,customer_id,policy_type,annual_premium,policy_active
P500201,C100201,Life,0.0,False
P500202,C100202,Life,0.0,False
P500203,C100203,Personal Accident,0.0,False
P500204,C100204,Health,23862.0,True
P500205,C100205,Motor,0.0,False
P500206,C100206,Health,0.0,False
P500207,C100207,Life,0.0,False
P500208,C100208,Health,10907.0,True
P500209,C100209,Life,0.0,False
P500210,C100210,Life,0.0,False
P500211,C100211,Personal Accident,0.0,False
P500212,C100212,Life,0.0,False
P500213,C100213,Health,0.0,False
P500214,C100214,Personal Accident,0.0,False
P500215,C100215,Health,0.0,False
P500216,C100216,Motor,0.0,False
P500217,C100217,Motor,0.0,False
P500218,C100218,Health,0.0,False
P500219,C100219,Health,12291.0,True
P500220,C100220,Motor,0.0,False
P500221,C100221,Life,25556.0,True
P500222,C100222,Life,0.0,False
P500223,C100223,Motor,0.0,False
P500224,C100224,Health,42650.0,True
P500225,C100225,Life,5071.0,True
P500226,C100226,Motor,0.0,False
P500227,C100227,Health,0.0,False
P500228,C100228,Health,0.0,False
P500229,C100229,Personal Accident,0.0,False
P500230,C100230,Personal Accident,0.0,False
P500231,C100231,Life,0.0,False
P500232,C100232,Health,0.0,False
P500233,C100233,Life,0.0,False
P500234,C100234,Motor,0.0,False
P500235,C100235,Motor,7888.0,True
P500236,C100236,Health,8270.0,True
P500237,C100237,Motor,8174.0,True
P500238,C100238,Motor,0.0,False
P500239,C100239,Health,0.0,False
P500240,C100240,Motor,0.0,False
P500241,C100241,Life,0.0,False
P500242,C100242,Personal Accident,0.0,False
P500243,C100243,Health,4992.0,True
P500244,C100244,Motor,0.0,False
P500245,C100245,Personal Accident,0.0,False
P500246,C100246,Health,0.0,False
P500247,C100247,Health,0.0,False
P500248,C100248,Life,0.0,False
P500249,C100249,Health,24210.0,True
P500250,C100250,Personal Accident,0.0,False
P500251,C100251,Personal Accident,0.0,False
P500252,C100252,Personal Accident,0.0,False
P500253,C100253,Motor,0.0,False
P500254,C100254,Personal Accident,0.0,False
P500255,C100255,Personal Accident,0.0,False
P500256,C100256,Motor,16778.0,True
P500257,C100257,Life,0.0,False
P500258,C100258,Life,0.0,False
P500259,C100259,Personal Accident,17902.0,True
P500260,C100260,Life,0.0,False
P500261,C100261,Health,0.0,False
P500262,C100262,Life,23751.0,True
P500263,C100263,Personal Accident,0.0,False
P500264,C100264,Health,0.0,False
P500265,C100265,Personal Accident,20364.0,True
P500266,C100266,Personal Accident,0.0,False
P500267,C100267,Motor,31238.0,True
P500268,C100268,Life,0.0,False
P500269,C100269,Motor,0.0,False
P500270,C100270,Personal Accident,0.0,False
P500271,C100271,Motor,0.0,False
P500272,C100272,Life,0.0,False
P500273,C100273,Personal Accident,0.0,False
P500274,C100274,Health,4346.0,True
P500275,C100275,Motor,0.0,False
P500276,C100276,Life,0.0,False
P500277,C100277,Motor,0.0,False
P500278,C100278,Motor,0.0,False
P500279,C100279,Life,0.0,False
P500280,C100280,Personal Accident,36338.0,True
P500281,C100281,Personal Accident,0.0,False
P500282,C100282,Life,0.0,False
P500283,C100283,Health,0.0,False
P500284,C100284,Life,0.0,False
P500285,C100285,Motor,0.0,False
P500286,C100286,Health,0.0,False
P500287,C100287,Health,0.0,False
P500288,C100288,Personal Accident,0.0,False
P500289,C100289,Life,0.0,False
P500290,C100290,Motor,0.0,False
P500291,C100291,Life,34375.0,True
P500292,C100292,Health,17964.0,True
P500293,C100293,Health,0.0,False
P500294,C100294,Health,7575.0,True
P500295,C100295,Personal Accident,0.0,False
P500296,C100296,Motor,0.0,False
P500297,C100297,Health,0.0,False
P500298,C100298,Motor,0.0,False
P500299,C100299,Life,35784.0,True
P500300,C100300,Personal Accident,4312.0,True
P500301,C100301,Life,0.0,False
P500302,C100302,Health,8458.0,True
P500303,C100303,Personal Accident,0.0,False
P500304,C100304,Health,22980.0,True
P500305,C100305,Health,0.0,False
P500306,C100306,Life,0.0,False
P500307,C100307,Motor,0.0,False
P500308,C100308,Motor,0.0,False
P500309,C100309,Life,33276.0,True
P500310,C100310,Motor,0.0,False
P500311,C100311,Health,0.0,False
P500312,C100312,Personal Accident,0.0,False
P500313,C100313,Motor,22141.0,True
P500314,C100314,Motor,0.0,False
P500315,C100315,Health,42829.0,True
P500316,C100316,Life,38778.0,True
P500317,C100317,Personal Accident,0.0,False
P500318,C100318,Motor,0.0,False
P500319,C100319,Motor,0.0,False
P500320,C100320,Personal Accident,0.0,False
P500321,C100321,Health,11444.0,True
P500322,C100322,Motor,0.0,False
P500323,C100323,Health,0.0,False
P500324,C100324,Personal Accident,0.0,False
P500325,C100325,Health,0.0,False
P500326,C100326,Motor,38307.0,True
P500327,C100327,Life,0.0,False
P500328,C100328,Life,0.0,False
P500329,C100329,Motor,30539.0,True
P500330,C100330,Health,0.0,False
P500331,C100331,Health,27224.0,True
P500332,C100332,Life,0.0,False
P500333,C100333,Life,0.0,False
P500334,C100334,Personal Accident,0.0,False
P500335,C100335,Motor,17103.0,True
P500336,C100336,Health,21072.0,True
P500337,C100337,Motor,0.0,False
P500338,C100338,Personal Accident,0.0,False
P500339,C100339,Personal Accident,41132.0,True
P500340,C100340,Personal Accident,0.0,False
P500341,C100341,Health,4357.0,True
P500342,C100342,Motor,44903.0,True
P500343,C100343,Health,0.0,False
P500344,C100344,Motor,15100.0,True
P500345,C100345,Personal Accident,19176.0,True
P500346,C100346,Personal Accident,0.0,False
P500347,C100347,Personal Accident,0.0,False
P500348,C100348,Motor,0.0,False
P500349,C100349,Life,0.0,False
P500350,C100350,Life,0.0,False
P500351,C100351,Motor,0.0,False
P500352,C100352,Motor,0.0,False
P500353,C100353,Personal Accident,26968.0,True
P500354,C100354,Personal Accident,0.0,False
P500355,C100355,Health,0.0,False
P500356,C100356,Personal Accident,0.0,False
P500357,C100357,Motor,41875.0,True
P500358,C100358,Personal Accident,0.0,False
P500359,C100359,Personal Accident,0.0,False
P500360,C100360,Motor,0.0,False
P500361,C100361,Personal Accident,0.0,False
P500362,C100362,Motor,0.0,False
P500363,C100363,Life,0.0,False
P500364,C100364,Life,0.0,False
P500365,C100365,Personal Accident,0.0,False
P500366,C100366,Health,0.0,False
P500367,C100367,Motor,0.0,False
P500368,C100368,Life,0.0,False
P500369,C100369,Health,0.0,False
P500370,C100370,Life,9234.0,True
P500371,C100371,Motor,0.0,False
P500372,C100372,Personal Accident,0.0,False
P500373,C100373,Health,0.0,False
P500374,C100374,Personal Accident,0.0,False
P500375,C100375,Motor,0.0,False
P500376,C100376,Personal Accident,0.0,False
P500377,C100377,Personal Accident,0.0,False
P500378,C100378,Personal Accident,0.0,False
P500379,C100379,Life,0.0,False
P500380,C100380,Health,0.0,False
P500381,C100381,Motor,0.0,False
P500382,C100382,Personal Accident,0.0,False
P500383,C100383,Health,15212.0,True
P500384,C100384,Health,0.0,False
P500385,C100385,Personal Accident,0.0,False
P500386,C100386,Motor,18671.0,True
P500387,C100387,Motor,42783.0,True
P500388,C100388,Life,15862.0,True
P500389,C100389,Health,0.0,False
P500390,C100390,Health,29102.0,True
P500391,C100391,Life,0.0,False
P500392,C100392,Personal Accident,0.0,False
P500393,C100393,Health,0.0,False
P500394,C100394,Personal Accident,14419.0,True
P500395,C100395,Life,0.0,False
P500396,C100396,Motor,39402.0,True
P500397,C100397,Personal Accident,0.0,False
P500398,C100398,Life,0.0,False
P500399,C100399,Personal Accident,0.0,False
P500400,C100400,Health,0.0,False
P500401,C100401,Life,0.0,False
P500402,C100402,Motor,10900.0,True
P500403,C100403,Life,0.0,False
P500404,C100404,Motor,0.0,False
P500405,C100405,Personal Accident,40806.0,True
P500406,C100406,Personal Accident,0.0,False
P500407,C100407,Life,0.0,False
P500408,C100408,Health,0.0,False
P500409,C100409,Life,31509.0,True
P500410,C100410,Motor,21407.0,True
P500411,C100411,Life,0.0,False
P500412,C100412,Health,7713.0,True
P500413,C100413,Personal Accident,0.0,False
P500414,C100414,Life,0.0,False
P500415,C100415,Personal Accident,0.0,False
P500416,C100416,Health,0.0,False
P500417,C100417,Motor,0.0,False
P500418,C100418,Motor,0.0,False
P500419,C100419,Motor,0.0,False
P500420,C100420,Motor,0.0,False
P500421,C100421,Life,30572.0,True
P500422,C100422,Life,42796.0,True
P500423,C100423,Motor,0.0,False
P500424,C100424,Life,7257.0,True
P500425,C100425,Motor,0.0,False
P500426,C100426,Life,13602.0,True
P500427,C100427,Personal Accident,0.0,False
P500428,C100428,Personal Accident,0.0,False
P500429,C100429,Motor,0.0,False
P500430,C100430,Health,0.0,False
P500431,C100431,Health,0.0,False
P500432,C100432,Health,0.0,False
P500433,C100433,Motor,0.0,False
P500434,C100434,Health,0.0,False
P500435,C100435,Motor,34139.0,True
P500436,C100436,Health,0.0,False
P500437,C100437,Life,0.0,False
P500438,C100438,Health,0.0,False
P500439,C100439,Life,0.0,False
P500440,C100440,Life,0.0,False
P500441,C100441,Motor,0.0,False
P500442,C100442,Health,0.0,False
P500443,C100443,Life,30080.0,True
P500444,C100444,Personal Accident,25325.0,True
P500445,C100445,Personal Accident,0.0,False
P500446,C100446,Personal Accident,9453.0,True
P500447,C100447,Life,34244.0,True
P500448,C100448,Health,23633.0,True
P500449,C100449,Life,9696.0,True
P500450,C100450,Motor,0.0,False
P500451,C100451,Motor,0.0,False
P500452,C100452,Personal Accident,0.0,False
P500453,C100453,Life,0.0,False
P500454,C100454,Health,0.0,False
P500455,C100455,Personal Accident,7021.0,True
P500456,C100456,Personal Accident,0.0,False
P500457,C100457,Health,0.0,False
P500458,C100458,Life,4101.0,True
P500459,C100459,Health,0.0,False
P500460,C100460,Health,37502.0,True
P500461,C100461,Life,0.0,False
P500462,C100462,Motor,0.0,False
P500463,C100463,Motor,0.0,False
P500464,C100464,Motor,18198.0,True
P500465,C100465,Personal Accident,0.0,False
P500466,C100466,Health,38785.0,True
P500467,C100467,Health,0.0,False
P500468,C100468,Motor,22537.0,True
P500469,C100469,Personal Accident,0.0,False
P500470,C100470,Motor,0.0,False
P500471,C100471,Life,0.0,False
P500472,C100472,Motor,0.0,False
P500473,C100473,Life,0.0,False
P500474,C100474,Personal Accident,0.0,False
P500475,C100475,Life,4739.0,True
P500476,C100476,Health,20032.0,True
P500477,C100477,Motor,0.0,False
P500478,C100478,Health,0.0,False
P500479,C100479,Health,0.0,False
P500480,C100480,Motor,8593.0,True
P500481,C100481,Life,0.0,False
P500482,C100482,Personal Accident,0.0,False
P500483,C100483,Motor,38373.0,True
P500484,C100484,Life,0.0,False
P500485,C100485,Personal Accident,0.0,False
P500486,C100486,Motor,25803.0,True
P500487,C100487,Personal Accident,17611.0,True
P500488,C100488,Personal Accident,0.0,False
P500489,C100489,Health,0.0,False
P500490,C100490,Personal Accident,0.0,False
P500491,C100491,Health,0.0,False
P500492,C100492,Motor,0.0,False
P500493,C100493,Motor,0.0,False
P500494,C100494,Motor,5490.0,True
P500495,C100495,Personal Accident,0.0,False
P500496,C100496,Health,0.0,False
P500497,C100497,Motor,0.0,False
P500498,C100498,Health,0.0,False
P500499,C100499,Life,0.0,False
P500500,C100500,Motor,0.0,False
P500501,C100501,Motor,0.0,False
P500502,C100502,Life,0.0,False
P500503,C100503,Personal Accident,0.0,False
P500504,C100504,Life,44787.0,True
P500505,C100505,Life,0.0,False
P500506,C100506,Motor,0.0,False
P500507,C100507,Life,0.0,False
P500508,C100508,Motor,0.0,False
P500509,C100509,Health,16821.0,True
P500510,C100510,Health,0.0,False
P500511,C100511,Life,0.0,False
P500512,C100512,Motor,0.0,False
P500513,C100513,Motor,0.0,False
P500514,C100514,Personal Accident,9308.0,True
P500515,C100515,Life,0.0,False
P500516,C100516,Personal Accident,20464.0,True
P500517,C100517,Personal Accident,0.0,False
P500518,C100518,Personal Accident,27720.0,True
P500519,C100519,Health,0.0,False
P500520,C100520,Life,0.0,False
P500521,C100521,Life,0.0,False
P500522,C100522,Motor,0.0,False
P500523,C100523,Motor,0.0,False
P500524,C100524,Health,0.0,False
P500525,C100525,Health,0.0,False
P500526,C100526,Motor,0.0,False
P500527,C100527,Motor,0.0,False
P500528,C100528,Life,0.0,False
P500529,C100529,Motor,0.0,False
P500530,C100530,Health,0.0,False
P500531,C100531,Personal Accident,0.0,False
P500532,C100532,Life,0.0,False
P500533,C100533,Life,0.0,False
P500534,C100534,Life,0.0,False
P500535,C100535,Personal Accident,0.0,False
P500536,C100536,Personal Accident,0.0,False
P500537,C100537,Health,0.0,False
P500538,C100538,Personal Accident,22298.0,True
P500539,C100539,Life,0.0,False
P500540,C100540,Health,0.0,False
P500541,C100541,Life,0.0,False
P500542,C100542,Motor,0.0,False
P500543,C100543,Personal Accident,0.0,False
P500544,C100544,Health,0.0,False
P500545,C100545,Health,0.0,False
P500546,C100546,Life,0.0,False
P500547,C100547,Health,0.0,False
P500548,C100548,Life,21334.0,True
P500549,C100549,Life,5809.0,True
P500550,C100550,Personal Accident,0.0,False
P500551,C100551,Life,0.0,False
P500552,C100552,Personal Accident,39674.0,True
P500553,C100553,Health,22035.0,True
P500554,C100554,Health,21329.0,True
P500555,C100555,Personal Accident,20301.0,True
P500556,C100556,Motor,0.0,False
P500557,C100557,Motor,9186.0,True
P500558,C100558,Motor,6183.0,True
P500559,C100559,Health,15339.0,True
P500560,C100560,Personal Accident,0.0,False
P500561,C100561,Life,0.0,False
P500562,C100562,Motor,0.0,False
P500563,C100563,Motor,0.0,False
P500564,C100564,Health,0.0,False
P500565,C100565,Health,26089.0,True
P500566,C100566,Motor,0.0,False
P500567,C100567,Life,37937.0,True
P500568,C100568,Motor,4676.0,True
P500569,C100569,Health,0.0,False
P500570,C100570,Life,0.0,False
P500571,C100571,Motor,27894.0,True
P500572,C100572,Health,0.0,False
P500573,C100573,Life,0.0,False
P500574,C100574,Motor,0.0,False
P500575,C100575,Motor,0.0,False
P500576,C100576,Personal Accident,0.0,False
P500577,C100577,Life,0.0,False
P500578,C100578,Life,0.0,False
P500579,C100579,Life,0.0,False
P500580,C100580,Health,26172.0,True
P500581,C100581,Life,0.0,False
P500582,C100582,Motor,0.0,False
P500583,C100583,Health,19624.0,True
P500584,C100584,Motor,7040.0,True
P500585,C100585,Personal Accident,0.0,False
P500586,C100586,Personal Accident,36779.0,True
P500587,C100587,Health,0.0,False
P500588,C100588,Personal Accident,0.0,False
P500589,C100589,Health,0.0,False
P500590,C100590,Life,0.0,False
P500591,C100591,Motor,27738.0,True
P500592,C100592,Personal Accident,0.0,False
P500593,C100593,Health,0.0,False
P500594,C100594,Personal Accident,0.0,False
P500595,C100595,Life,0.0,False
P500596,C100596,Personal Accident,43810.0,True
P500597,C100597,Health,0.0,False
P500598,C100598,Life,0.0,False
P500599,C100599,Motor,0.0,False
P500600,C100600,Motor,0.0,False
P500601,C100601,Personal Accident,0.0,False
P500602,C100602,Health,44429.0,True
P500603,C100603,Health,0.0,False
P500604,C100604,Life,0.0,False
P500605,C100605,Personal Accident,0.0,False
P500606,C100606,Life,0.0,False
P500607,C100607,Personal Accident,0.0,False
P500608,C100608,Life,22933.0,True
P500609,C100609,Health,0.0,False
P500610,C100610,Personal Accident,0.0,False
P500611,C100611,Motor,0.0,False
P500612,C100612,Personal Accident,0.0,False
P500613,C100613,Motor,0.0,False
P500614,C100614,Life,0.0,False
P500615,C100615,Motor,0.0,False
P500616,C100616,Motor,0.0,False
P500617,C100617,Life,0.0,False
P500618,C100618,Motor,41357.0,True
P500619,C100619,Personal Accident,0.0,False
P500620,C100620,Health,13382.0,True
P500621,C100621,Health,0.0,False
P500622,C100622,Motor,0.0,False
P500623,C100623,Motor,0.0,False
P500624,C100624,Health,0.0,False
P500625,C100625,Life,0.0,False
P500626,C100626,Personal Accident,0.0,False
P500627,C100627,Life,26799.0,True
P500628,C100628,Motor,0.0,False
P500629,C100629,Health,0.0,False
P500630,C100630,Motor,0.0,False
P500631,C100631,Motor,0.0,False
P500632,C100632,Motor,0.0,False
P500633,C100633,Personal Accident,0.0,False
P500634,C100634,Personal Accident,23104.0,True
P500635,C100635,Health,15302.0,True
P500636,C100636,Personal Accident,0.0,False
P500637,C100637,Personal Accident,0.0,False
P500638,C100638,Health,0.0,False
P500639,C100639,Life,0.0,False
P500640,C100640,Motor,0.0,False
P500641,C100641,Motor,0.0,False
P500642,C100642,Health,0.0,False
P500643,C100643,Life,0.0,False
P500644,C100644,Life,0.0,False
P500645,C100645,Life,41466.0,True
P500646,C100646,Health,0.0,False
P500647,C100647,Motor,0.0,False
P500648,C100648,Personal Accident,23038.0,True
P500649,C100649,Life,0.0,False
P500650,C100650,Health,20565.0,True
P500651,C100651,Motor,0.0,False
P500652,C100652,Life,0.0,False
P500653,C100653,Health,22824.0,True
P500654,C100654,Life,0.0,False
P500655,C100655,Life,32826.0,True
P500656,C100656,Personal Accident,0.0,False
P500657,C100657,Motor,0.0,False
P500658,C100658,Personal Accident,0.0,False
P500659,C100659,Health,0.0,False
P500660,C100660,Health,0.0,False
P500661,C100661,Motor,0.0,False
P500662,C100662,Life,37488.0,True
P500663,C100663,Health,15530.0,True
P500664,C100664,Motor,4258.0,True
P500665,C100665,Life,0.0,False
P500666,C100666,Motor,12915.0,True
P500667,C100667,Life,0.0,False
P500668,C100668,Personal Accident,0.0,False
P500669,C100669,Motor,0.0,False
P500670,C100670,Motor,0.0,False
P500671,C100671,Health,37381.0,True
P500672,C100672,Health,0.0,False
P500673,C100673,Health,0.0,False
P500674,C100674,Life,0.0,False
P500675,C100675,Personal Accident,0.0,False
P500676,C100676,Personal Accident,0.0,False
P500677,C100677,Motor,35135.0,True
P500678,C100678,Personal Accident,0.0,False
P500679,C100679,Life,0.0,False
P500680,C100680,Personal Accident,35275.0,True
P500681,C100681,Personal Accident,12859.0,True
P500682,C100682,Health,0.0,False
P500683,C100683,Personal Accident,24880.0,True
P500684,C100684,Motor,0.0,False
P500685,C100685,Personal Accident,32002.0,True
P500686,C100686,Personal Accident,0.0,False
P500687,C100687,Personal Accident,9497.0,True
P500688,C100688,Personal Accident,0.0,False
P500689,C100689,Personal Accident,0.0,False
P500690,C100690,Personal Accident,0.0,False
P500691,C100691,Life,0.0,False
P500692,C100692,Health,18316.0,True
P500693,C100693,Motor,0.0,False
P500694,C100694,Personal Accident,0.0,False
P500695,C100695,Health,26388.0,True
P500696,C100696,Motor,0.0,False
P500697,C100697,Health,12995.0,True
P500698,C100698,Life,0.0,False
P500699,C100699,Health,0.0,False
P500700,C100700,Health,0.0,False
P500701,C100701,Life,0.0,False
P500702,C100702,Health,0.0,False
P500703,C100703,Health,0.0,False
P500704,C100704,Motor,0.0,False
P500705,C100705,Motor,0.0,False
P500706,C100706,Personal Accident,10133.0,True
P500707,C100707,Motor,0.0,False
P500708,C100708,Personal Accident,0.0,False
P500709,C100709,Life,0.0,False
P500710,C100710,Personal Accident,0.0,False
P500711,C100711,Health,0.0,False
P500712,C100712,Life,0.0,False
P500713,C100713,Motor,36532.0,True
P500714,C100714,Personal Accident,0.0,False
P500715,C100715,Personal Accident,0.0,False
P500716,C100716,Motor,32644.0,True
P500717,C100717,Life,0.0,False
P500718,C100718,Motor,0.0,False
P500719,C100719,Health,0.0,False
P500720,C100720,Life,0.0,False
P500721,C100721,Personal Accident,23219.0,True
P500722,C100722,Personal Accident,0.0,False
P500723,C100723,Motor,14636.0,True
P500724,C100724,Health,0.0,False
P500725,C100725,Life,0.0,False
P500726,C100726,Motor,0.0,False
P500727,C100727,Personal Accident,0.0,False
P500728,C100728,Personal Accident,23474.0,True
P500729,C100729,Motor,0.0,False
P500730,C100730,Health,0.0,False
P500731,C100731,Personal Accident,0.0,False
P500732,C100732,Personal Accident,0.0,False
P500733,C100733,Health,0.0,False
P500734,C100734,Motor,11916.0,True
P500735,C100735,Motor,0.0,False
P500736,C100736,Motor,35358.0,True
P500737,C100737,Motor,0.0,False
P500738,C100738,Motor,9310.0,True
P500739,C100739,Motor,0.0,False
P500740,C100740,Life,0.0,False
P500741,C100741,Life,0.0,False
P500742,C100742,Health,0.0,False
P500743,C100743,Life,20497.0,True
P500744,C100744,Life,10962.0,True
P500745,C100745,Personal Accident,30361.0,True
P500746,C100746,Personal Accident,36062.0,True
P500747,C100747,Personal Accident,0.0,False
P500748,C100748,Health,0.0,False
P500749,C100749,Personal Accident,0.0,False
P500750,C100750,Personal Accident,0.0,False
P500751,C100751,Life,40370.0,True
P500752,C100752,Health,0.0,False
P500753,C100753,Personal Accident,42318.0,True
P500754,C100754,Life,14551.0,True
