transaction_id,customer_id,transaction_date,transaction_type,amount
T400115,C102537,2025-03-21,UPI,7527.95
T400116,C103658,2026-05-01,ATM,2429.21
T400117,C104846,2025-02-22,UPI,8757.75
T400118,C104070,2025-12-10,POS,8194.18
T400119,C104249,2026-04-23,UPI,5139.35
T400120,C103591,2026-01-09,UPI,20155.4
T400121,C101853,2025-01-22,UPI,2597.15
T400122,C103076,2025-11-05,SALARY,7823.64
T400123,C102246,2026-01-19,POS,3161.53
T400124,C103842,2025-09-05,SALARY,4102.9
T400125,C101633,2026-04-10,POS,3965.32
T400126,C103717,2026-03-19,NEFT,1288.49
T400127,C100061,2026-05-28,NEFT,3778.36
T400128,C101979,2025-02-19,UPI,3427.09
T400129,C100180,2025-05-13,POS,3778.51
T400130,C103164,2025-12-11,POS,6516.42
T400131,C104047,2025-12-16,ATM,1536.86
T400132,C102669,2025-12-02,SALARY,3597.51
T400133,C102321,2025-06-02,UPI,6200.27
T400134,C101241,2026-03-08,IMPS,4957.35
T400135,C102296,2025-02-17,UPI,4082.83
T400136,C103300,2025-02-11,POS,14410.58
T400137,C104084,2025-10-20,UPI,2083.8
T400138,C100607,2025-11-18,NEFT,6602.26
T400139,C100972,2025-10-31,ATM,5742.95
T400140,C100262,2025-02-15,UPI,2461.1
T400141,C101506,2025-07-03,UPI,385.34
T400142,C104650,2025-07-26,POS,765.34
T400143,C104319,2025-08-17,POS,1861.47
T400144,C101336,2025-08-11,IMPS,5685.41
T400145,C103601,2025-11-10,UPI,6101.62
T400146,C102926,2025-08-28,POS,3537.12
T400147,C102472,2026-02-26,NEFT,5633.63
T400148,C101435,2025-07-29,POS,2828.62
T400149,C101701,2025-04-07,ATM,2293.77
T400150,C104792,2025-10-17,UPI,2578.66
T400151,C101280,2026-04-11,ATM,1897.82
T400152,C101223,2025-01-09,POS,3893.37
T400153,C101208,2026-01-20,NEFT,2985.67
T400154,C102120,2026-08-01,ATM,13702.78
T400155,C101205,2025-03-08,SALARY,1106.54
T400156,C101060,2025-03-23,UPI,7345.82
T400157,C100934,2025-02-08,NEFT,3152.12
T400158,C104360,2025-02-25,IMPS,790.74
T400159,C101085,2026-06-12,SALARY,1998.1
T400160,C100287,2026-05-21,ATM,8745.37
T400161,C101798,2025-01-02,SALARY,2208.63
T400162,C104137,2025-08-31,POS,352.86
T400163,C101687,2026-02-10,ATM,14345.34
T400164,C104827,2026-06-20,POS,7547.46
T400165,C100143,2025-01-10,POS,1189.18
T400166,C103145,2025-06-09,POS,902.09
T400167,C101363,2026-06-21,ATM,1796.29
T400168,C103828,2025-12-29,UPI,5966.68
T400169,C100283,2025-10-05,UPI,9696.17
T400170,C101466,2025-06-07,SALARY,737.2
T400171,C103874,2025-01-07,SALARY,5288.14
T400172,C101925,2026-05-01,NEFT,2254.07
T400173,C101012,2025-03-31,IMPS,9886.95
T400174,C100096,2026-06-11,POS,25432.09
T400175,C101396,2025-01-25,UPI,1214.08
T400176,C103592,2026-06-18,UPI,12682.05
T400177,C104071,2026-07-12,NEFT,3798.99
T400178,C102484,2025-04-02,ATM,15136.68
T400179,C103046,2026-02-04,SALARY,6539.67
T400180,C103767,2025-09-15,POS,4837.73
T400181,C101329,2026-06-30,UPI,956.88
T400182,C104703,2025-09-11,POS,4141.89
T400183,C100497,2026-01-06,NEFT,11545.8
T400184,C101593,2026-06-03,NEFT,2466.8
T400185,C103104,2025-06-21,UPI,1267.17
T400186,C100052,2026-05-23,IMPS,4089.32
T400187,C103532,2026-04-27,NEFT,6974.44
T400188,C100832,2026-05-27,UPI,10493.52
T400189,C101680,2026-02-20,UPI,14921.33
T400190,C100645,2025-04-01,ATM,1148.36
T400191,C103935,2025-07-23,SALARY,4726.83
T400192,C100805,2025-11-18,POS,4146.01
T400193,C103527,2026-06-20,SALARY,5582.62
T400194,C100337,2025-05-23,SALARY,1895.81
T400195,C102302,2026-01-07,POS,3371.81
T400196,C100002,2025-05-09,UPI,1291.6
T400197,C100178,2025-08-02,POS,8500.57
T400198,C104277,2025-08-19,POS,561.15
T400199,C101130,2025-02-12,UPI,2788.74
T400200,C102290,2025-10-02,UPI,2856.39
T400201,C101643,2025-03-13,POS,1723.56
T400202,C103521,2025-02-03,SALARY,2819.06
T400203,C102819,2025-12-06,UPI,1110.45
T400204,C101865,2025-03-17,POS,16308.74
T400205,C100263,2025-12-10,POS,6302.22
T400206,C104801,2026-03-31,POS,968.14
T400207,C102934,2026-06-19,POS,6529.34
T400208,C100456,2025-05-31,SALARY,15499.22
T400209,C100365,2026-05-24,ATM,2544.01
T400210,C100691,2026-04-29,NEFT,2538.95
T400211,C102860,2025-01-25,UPI,6023.87
T400212,C102880,2025-03-27,POS,8776.35
T400213,C100897,2026-05-13,NEFT,6923.85
T400214,C101199,2026-02-20,IMPS,5425.47
T400215,C104550,2025-06-20,POS,3579.84
T400216,C101647,2025-08-06,UPI,4988.06
T400217,C102933,2025-08-15,POS,19611.48
T400218,C103071,2025-07-27,UPI,864.11
T400219,C101053,2025-09-08,UPI,6559.42
T400220,C104394,2026-08-03,UPI,517.54
T400221,C103431,2025-02-18,POS,2375.29
T400222,C100312,2025-07-20,POS,2944.62
T400223,C101040,2025-04-26,ATM,3379.66
T400224,C102682,2025-09-04,SALARY,2797.73
T400225,C102074,2026-01-31,ATM,2739.46
T400226,C100457,2026-06-19,IMPS,1912.63
T400227,C103510,2026-01-04,ATM,5694.39
T400228,C103532,2025-06-25,NEFT,9736.55
T400229,C103691,2025-04-26,NEFT,45446.49
T400230,C102508,2026-07-11,NEFT,4926.39
T400231,C104661,2026-01-24,UPI,1791.65
T400232,C104570,2025-08-31,POS,6182.22
T400233,C100644,2025-12-16,UPI,2001.32
T400234,C104037,2025-06-14,SALARY,1904.69
T400235,C104047,2025-10-13,POS,801.28
T400236,C100584,2025-03-13,IMPS,1338.55
T400237,C101239,2025-11-13,ATM,520.04
T400238,C101136,2025-09-27,UPI,2697.87
T400239,C103798,2025-04-23,SALARY,5192.66
T400240,C103208,2025-07-07,UPI,7690.8
T400241,C102247,2026-02-17,POS,4496.64
T400242,C102106,2025-09-29,UPI,23552.11
T400243,C102975,2025-10-27,UPI,3137.63
T400244,C102283,2026-05-17,UPI,7752.82
T400245,C101208,2026-07-07,IMPS,1105.79
T400246,C104472,2026-08-01,POS,1071.44
T400247,C102833,2026-06-20,POS,3142.6
T400248,C102251,2025-09-07,IMPS,2138.77
T400249,C103665,2025-11-24,ATM,14162.0
T400250,C102216,2025-07-14,UPI,669.4
T400251,C103428,2025-11-02,SALARY,9948.94
T400252,C100305,2026-06-29,UPI,7206.13
T400253,C101853,2025-11-27,UPI,7424.66
T400254,C103875,2025-01-04,SALARY,2088.61
T400255,C103228,2025-01-28,SALARY,4894.62
T400256,C102423,2025-08-21,POS,8363.05
T400257,C103428,2026-01-09,ATM,4331.0
T400258,C104023,2025-09-04,NEFT,2940.62
T400259,C100891,2026-05-25,POS,6663.44
T400260,C104925,2026-01-05,UPI,1057.1
T400261,C103206,2025-11-28,ATM,928.25
T400262,C103386,2026-05-27,UPI,6306.23
T400263,C101196,2026-02-13,ATM,24927.05
T400264,C101937,2025-12-12,ATM,10483.76
T400265,C102070,2025-04-19,UPI,1041.79
T400266,C101801,2026-02-16,SALARY,4331.55
T400267,C102508,2025-07-25,POS,4481.73
T400268,C104519,2026-05-21,NEFT,15512.11
T400269,C100952,2025-10-30,POS,833.91
T400270,C103417,2025-02-27,NEFT,1967.91
T400271,C103194,2025-01-30,UPI,7162.83
T400272,C100145,2026-06-10,IMPS,5172.19
T400273,C101580,2025-11-19,SALARY,4753.53
T400274,C102174,2026-07-29,IMPS,54659.75
T400275,C100831,2025-12-16,SALARY,13961.41
T400276,C100898,2025-10-06,POS,36508.08
T400277,C101069,2026-02-07,SALARY,5866.74
T400278,C100764,2025-04-20,POS,4041.29
T400279,C101091,2025-03-10,UPI,874.55
T400280,C103444,2026-04-05,UPI,4121.05
T400281,C101024,2025-03-04,POS,7539.25
T400282,C101070,2025-10-04,NEFT,5443.68
T400283,C100963,2025-03-12,IMPS,1849.79
T400284,C102029,2025-02-01,POS,6856.35
T400285,C103819,2025-11-20,NEFT,3595.69
T400286,C100562,2025-04-30,NEFT,1500.83
T400287,C102234,2025-09-21,UPI,4485.9
T400288,C100301,2026-07-12,POS,959.9
T400289,C102300,2025-04-17,ATM,432.38
T400290,C102492,2025-06-20,POS,1873.11
T400291,C102518,2025-06-23,UPI,967.32
T400292,C101433,2026-04-06,NEFT,10544.38
T400293,C102808,2025-10-06,IMPS,1368.81
T400294,C102360,2025-07-10,UPI,11082.26
T400295,C100495,2026-06-04,ATM,6826.69
T400296,C103311,2025-03-21,IMPS,5898.8
T400297,C103188,2026-07-03,IMPS,1716.28
T400298,C103700,2025-08-27,UPI,4481.54
T400299,C100128,2026-04-17,POS,9823.23
T400300,C101585,2025-08-21,UPI,51944.23
T400301,C104477,2025-03-12,ATM,2049.61
T400302,C101556,2025-11-23,IMPS,30705.7
T400303,C104116,2025-07-18,UPI,5113.42
T400304,C100455,2025-06-21,NEFT,8671.22
T400305,C102019,2025-03-24,NEFT,1440.52
T400306,C100560,2026-01-09,IMPS,1838.18
T400307,C103327,2025-02-11,POS,580.82
T400308,C104187,2026-02-23,POS,13610.42
T400309,C104380,2025-10-18,UPI,2843.19
T400310,C104020,2025-07-24,ATM,6198.93
T400311,C100564,2025-09-30,UPI,2482.8
T400312,C101178,2025-11-23,NEFT,1509.21
T400313,C104818,2025-11-09,NEFT,3394.41
T400314,C102722,2026-07-15,UPI,14776.51
T400315,C104246,2026-05-22,NEFT,6508.62
T400316,C100551,2025-06-21,NEFT,2677.23
T400317,C104791,2026-03-07,UPI,8178.04
T400318,C100444,2026-07-04,ATM,2307.52
T400319,C104993,2026-06-25,NEFT,4563.43
T400320,C104447,2025-06-03,ATM,906.99
T400321,C101909,2026-01-28,UPI,21283.19
T400322,C102711,2025-10-16,UPI,1890.93
T400323,C104713,2026-02-14,ATM,33126.69
T400324,C102783,2026-04-22,NEFT,1129.51
T400325,C100816,2025-09-15,SALARY,10364.45
T400326,C100775,2025-04-16,SALARY,2909.85
T400327,C104437,2025-04-16,POS,1959.96
T400328,C102104,2025-06-11,ATM,4598.07
T400329,C103855,2025-01-23,UPI,5543.74
T400330,C102178,2025-10-22,POS,11773.02
T400331,C103378,2026-05-27,POS,7383.19
T400332,C103716,2025-03-16,SALARY,5255.77
T400333,C102975,2025-10-11,SALARY,12115.47
T400334,C103607,2026-04-16,POS,1447.36
T400335,C100098,2026-04-11,POS,14073.16
T400336,C102139,2025-05-02,POS,18036.33
T400337,C103166,2025-09-27,POS,4242.38
T400338,C104020,2025-10-05,SALARY,2428.67
T400339,C104541,2026-05-07,POS,1650.52
T400340,C101201,2025-07-05,POS,301.89
T400341,C103102,2025-10-03,UPI,2219.28
T400342,C101021,2026-01-14,SALARY,1701.59
T400343,C100837,2025-07-14,NEFT,1391.81
T400344,C101101,2026-01-14,POS,1921.49
T400345,C103490,2025-12-05,UPI,2574.63
T400346,C103796,2025-06-20,ATM,5981.21
T400347,C100997,2025-04-16,POS,1842.96
T400348,C100800,2025-05-24,NEFT,2102.17
T400349,C101755,2026-01-19,ATM,7209.22
T400350,C103544,2025-02-03,NEFT,23662.99
T400351,C102283,2025-01-30,ATM,34366.54
T400352,C102718,2025-10-21,ATM,9753.1
T400353,C101124,2025-01-03,UPI,6256.16
T400354,C104358,2025-09-27,IMPS,27272.63
T400355,C101593,2026-04-10,NEFT,7387.65
T400356,C102556,2026-06-25,NEFT,599.59
T400357,C103651,2025-03-17,ATM,2689.76
T400358,C101895,2025-10-25,SALARY,5418.24
T400359,C101017,2025-06-26,UPI,306.67
T400360,C101377,2025-07-19,NEFT,3657.88
T400361,C102808,2025-07-21,NEFT,3093.78
T400362,C102857,2025-05-23,SALARY,3965.94
T400363,C102750,2026-03-27,SALARY,2768.49
T400364,C100497,2025-08-10,IMPS,4297.35
T400365,C104683,2025-12-07,SALARY,16488.83
T400366,C100866,2025-09-12,UPI,1191.97
T400367,C102145,2025-03-08,NEFT,15924.81
T400368,C103803,2025-06-08,ATM,1641.32
T400369,C100703,2025-08-30,NEFT,3330.12
T400370,C104789,2025-05-04,POS,11854.91
T400371,C102548,2025-09-24,POS,10621.88
T400372,C101852,2026-05-18,POS,2870.48
T400373,C104202,2025-09-25,IMPS,4040.59
T400374,C104163,2025-05-16,IMPS,5704.38
T400375,C104933,2026-05-12,UPI,3193.42
T400376,C102638,2025-12-16,ATM,3152.42
T400377,C102274,2025-08-24,NEFT,904.26
T400378,C103445,2026-07-26,UPI,6488.03
T400379,C102966,2026-01-21,POS,5093.96
T400380,C102538,2026-03-05,UPI,6389.95
T400381,C104874,2025-11-13,SALARY,2788.9
T400382,C104615,2025-12-30,POS,7637.07
T400383,C103210,2025-01-22,SALARY,11048.45
T400384,C101281,2025-01-17,POS,898.31
T400385,C103102,2025-08-06,SALARY,4475.73
T400386,C102276,2026-06-30,POS,8770.48
T400387,C102962,2026-07-01,UPI,5826.58
T400388,C104999,2025-01-12,IMPS,1395.17
T400389,C104051,2025-02-28,UPI,2234.99
T400390,C102405,2025-10-24,SALARY,2412.35
T400391,C104459,2026-01-13,UPI,7395.11
T400392,C104368,2026-07-12,NEFT,8640.84
T400393,C101720,2026-07-27,NEFT,3991.31
T400394,C101493,2026-06-17,UPI,5861.13
T400395,C100046,2025-10-01,IMPS,2777.1
T400396,C104614,2025-07-12,SALARY,3448.89
T400397,C103748,2025-08-02,UPI,5918.38
T400398,C104324,2026-02-22,ATM,1132.75
T400399,C100574,2026-07-24,NEFT,4923.38
T400400,C104584,2026-02-17,SALARY,7763.58
T400401,C101943,2026-01-23,POS,1171.87
T400402,C103319,2025-04-10,POS,2191.72
T400403,C104340,2025-01-26,POS,467.13
T400404,C104763,2026-07-09,UPI,27118.89
T400405,C102361,2025-06-01,NEFT,45008.39
T400406,C101639,2025-07-01,POS,9440.95
T400407,C100156,2025-08-04,IMPS,2804.71
T400408,C103138,2025-06-07,IMPS,5933.95
T400409,C101144,2025-03-19,UPI,1118.63
T400410,C103576,2025-03-02,IMPS,1425.27
T400411,C104377,2026-03-30,UPI,10819.42
T400412,C103866,2026-04-22,UPI,2576.88
T400413,C104057,2025-08-28,POS,12404.86
T400414,C103306,2025-09-25,SALARY,2098.4
T400415,C104584,2026-07-10,IMPS,4985.09
T400416,C104448,2026-07-26,NEFT,3939.64
T400417,C100799,2025-03-12,UPI,1334.81
T400418,C102996,2026-05-03,UPI,3347.22
T400419,C104133,2026-01-12,POS,15140.6
T400420,C101206,2025-08-10,UPI,27115.78
T400421,C100078,2025-04-15,IMPS,10901.03
T400422,C101341,2026-03-18,POS,4954.37
T400423,C101805,2026-05-16,POS,8206.94
T400424,C101018,2025-02-25,IMPS,4557.37
T400425,C101383,2026-01-21,POS,1367.25
T400426,C100127,2026-04-16,UPI,5332.87
T400427,C103748,2026-07-31,NEFT,1503.22
T400428,C102812,2026-04-09,POS,554.45
T400429,C104270,2025-03-07,UPI,2469.46
T400430,C103083,2025-07-12,UPI,1067.83
T400431,C104332,2025-12-24,IMPS,5099.88
T400432,C101670,2025-08-11,IMPS,4476.71
T400433,C104159,2026-02-06,UPI,9730.62
T400434,C103419,2025-03-14,ATM,6532.7
T400435,C104755,2025-02-27,POS,766.93
T400436,C100094,2025-09-27,IMPS,1934.25
T400437,C104182,2025-10-09,UPI,8885.47
T400438,C101143,2025-03-10,ATM,5747.0
T400439,C103824,2025-05-31,POS,4498.72
T400440,C103195,2025-08-01,NEFT,5242.92
T400441,C102610,2026-01-17,POS,1472.78
T400442,C101951,2025-12-04,UPI,2680.21
T400443,C101000,2025-05-20,POS,5344.05
T400444,C102268,2026-02-04,POS,2130.22
T400445,C100310,2025-11-25,POS,6261.14
T400446,C101607,2025-11-24,IMPS,8905.83
T400447,C102504,2025-02-16,ATM,3134.59
T400448,C100551,2025-04-26,UPI,12239.99
T400449,C104176,2025-12-28,ATM,8005.07
T400450,C103625,2026-07-16,UPI,5288.84
T400451,C100044,2026-05-25,UPI,11292.81
T400452,C103016,2025-09-22,POS,2137.85
T400453,C104757,2025-11-27,ATM,6941.03
T400454,C103082,2026-07-24,POS,11501.42
T400455,C100965,2026-01-31,ATM,1975.87
T400456,C100823,2026-05-05,SALARY,12693.69
T400457,C101630,2025-12-15,SALARY,9749.45
T400458,C103039,2026-04-15,POS,3815.6
T400459,C103466,2026-01-16,IMPS,699.62
T400460,C103047,2026-05-02,ATM,16538.42
T400461,C101503,2026-01-04,POS,7328.39
T400462,C103284,2025-06-21,POS,2066.76
T400463,C104169,2025-08-15,UPI,3339.66
T400464,C101692,2025-03-01,ATM,2883.54
T400465,C103452,2025-05-07,POS,285.38
T400466,C101150,2025-09-26,IMPS,1454.62
T400467,C103936,2026-05-06,UPI,1287.53
T400468,C100559,2025-04-06,POS,3505.59
T400469,C103549,2025-10-06,ATM,2763.93
T400470,C102776,2026-01-07,POS,444.53
T400471,C101287,2025-08-11,UPI,2135.61
T400472,C103577,2026-01-29,UPI,4859.66
T400473,C100834,2025-06-20,POS,6060.76
T400474,C100592,2025-03-26,POS,1073.68
T400475,C101252,2025-04-25,POS,5777.09
T400476,C101531,2026-03-05,POS,6374.87
T400477,C104546,2025-05-18,POS,7996.22
T400478,C103528,2025-03-26,UPI,4171.41
T400479,C103770,2025-04-10,ATM,2612.05
T400480,C100749,2025-08-26,POS,7862.12
T400481,C104519,2026-07-12,ATM,2866.9
T400482,C100524,2025-01-27,POS,9584.43
T400483,C104645,2025-11-12,NEFT,13568.28
T400484,C100872,2025-03-07,SALARY,17670.7
T400485,C100850,2026-06-20,POS,976.26
T400486,C102650,2025-03-22,POS,2876.37
T400487,C101790,2025-04-15,IMPS,4702.74
T400488,C100990,2025-05-24,UPI,2177.73
T400489,C103066,2026-07-22,SALARY,15275.55
T400490,C104528,2026-07-27,ATM,40655.68
T400491,C100077,2025-02-06,ATM,10414.39
T400492,C102206,2026-01-10,UPI,1631.75
T400493,C104976,2025-05-04,SALARY,2028.32
T400494,C100448,2026-02-02,POS,6455.48
T400495,C102149,2026-02-01,SALARY,1562.32
T400496,C104511,2025-05-25,IMPS,1605.4
T400497,C100812,2026-04-11,POS,2988.36
T400498,C104725,2025-04-16,IMPS,19947.28
T400499,C100045,2025-07-24,SALARY,9180.96
T400500,C100570,2026-04-29,UPI,1970.74
T400501,C101382,2025-11-01,POS,1817.84
T400502,C101964,2025-07-19,SALARY,11362.95
T400503,C101293,2025-11-25,POS,333.2
T400504,C103564,2026-07-22,UPI,6788.1
T400505,C103054,2025-05-28,IMPS,10559.94
T400506,C100841,2025-08-03,POS,4822.86
T400507,C103765,2025-08-30,IMPS,6388.91
T400508,C103072,2025-03-01,SALARY,3645.96
T400509,C104822,2026-07-02,NEFT,1667.51
T400510,C103795,2026-07-23,ATM,4736.13
T400511,C104220,2026-02-11,UPI,7503.41
T400512,C103308,2026-06-14,UPI,39667.81
T400513,C101591,2026-06-20,NEFT,1454.2
T400514,C101399,2025-06-21,UPI,7087.47
T400515,C104113,2025-03-24,POS,5986.89
T400516,C100927,2025-02-07,POS,830.89
T400517,C104731,2026-05-08,POS,6249.69
T400518,C104965,2025-11-15,IMPS,1886.26
T400519,C100482,2025-10-20,POS,9895.47
T400520,C102300,2026-05-11,POS,18468.49
T400521,C104921,2026-05-12,UPI,2173.17
T400522,C103614,2026-04-18,ATM,12266.58
T400523,C103237,2025-03-04,UPI,6487.78
T400524,C104596,2025-06-08,ATM,371.57
T400525,C101054,2025-10-22,ATM,2376.27
T400526,C104000,2025-08-17,ATM,4514.55
T400527,C104658,2025-03-28,POS,7051.13
T400528,C100872,2025-04-04,SALARY,6185.75
T400529,C100573,2025-05-28,NEFT,5080.79
T400530,C104582,2026-06-13,POS,2044.78
T400531,C102299,2026-05-08,IMPS,2457.38
T400532,C104255,2025-02-10,SALARY,2752.59
T400533,C102902,2026-07-04,UPI,96151.32
T400534,C104166,2026-03-23,ATM,2532.52
T400535,C102363,2025-09-08,UPI,4445.27
T400536,C101216,2025-09-12,POS,9774.9
T400537,C102350,2025-09-22,ATM,1625.7
T400538,C100222,2025-05-01,UPI,4398.25
T400539,C100172,2026-06-12,IMPS,1332.09
T400540,C103529,2025-03-27,UPI,23719.43
T400541,C100553,2025-10-26,ATM,4049.45
T400542,C103193,2026-06-06,UPI,4143.02
T400543,C100727,2026-02-25,UPI,3722.95
T400544,C100297,2025-02-20,POS,2053.52
T400545,C103616,2026-01-04,UPI,4489.1
T400546,C100225,2025-10-31,ATM,1996.28
T400547,C101691,2025-09-23,POS,2544.44
T400548,C101435,2025-09-06,POS,3667.13
T400549,C103711,2025-12-17,NEFT,2217.97
T400550,C103125,2025-01-06,NEFT,21921.21
T400551,C103870,2026-07-06,UPI,900.5
T400552,C102821,2025-04-13,UPI,1410.23
T400553,C103250,2025-08-22,ATM,3265.62
T400554,C103170,2025-08-17,POS,4086.09
T400555,C102521,2025-07-07,NEFT,3377.94
T400556,C103205,2025-08-15,NEFT,2248.5
T400557,C100567,2026-04-29,POS,2243.99
T400558,C101106,2026-01-11,IMPS,4009.72
T400559,C100836,2025-11-29,POS,3239.34
T400560,C104937,2026-05-16,UPI,20381.41
T400561,C104035,2025-05-15,UPI,2031.32
T400562,C104527,2026-05-04,POS,1946.9
T400563,C103325,2026-04-13,NEFT,22113.19
T400564,C102712,2025-08-16,POS,2514.6
T400565,C103520,2026-05-20,UPI,2495.74
T400566,C100134,2026-06-04,UPI,3685.06
T400567,C103624,2025-04-01,UPI,15946.92
T400568,C101588,2026-07-16,UPI,6434.21
T400569,C104822,2025-03-13,IMPS,5880.88
T400570,C100318,2026-08-01,UPI,2049.52
T400571,C104759,2026-07-21,IMPS,1660.54
T400572,C103409,2025-12-23,UPI,1003.21
T400573,C100935,2026-02-09,ATM,1182.18
T400574,C102303,2026-03-19,UPI,23423.89
T400575,C104675,2026-06-14,NEFT,3533.52
T400576,C100159,2025-03-22,SALARY,3217.48
T400577,C104605,2025-11-10,NEFT,2293.86
T400578,C101602,2025-11-08,POS,3700.78
T400579,C104116,2025-04-08,UPI,599.64
T400580,C100072,2025-02-19,ATM,9425.53
