loan_id,customer_id,product,channel,disbursement_date,original_amount,tenure_months,interest_rate,dpd,loan_status,outstanding_principal
L200030,C102232,Personal Loan,Branch,2025-04-19,328000.0,84,16.19,6,Delinquent,270877.0
L200031,C101481,Personal Loan,DSA,2024-01-06,869000.0,24,17.16,3,Delinquent,100083.0
L200032,C101128,Auto Loan,Partner,2024-01-12,851000.0,36,13.61,44,Delinquent,118540.0
L200033,C101334,Personal Loan,DSA,2025-09-21,773000.0,12,15.36,4,Delinquent,202494.0
L200034,C102815,Auto Loan,DSA,2024-05-13,865000.0,24,9.12,47,Delinquent,76793.0
L200035,C101127,Business Loan,Digital,2024-09-29,921000.0,84,17.47,129,NPL,774716.0
L200036,C101792,Business Loan,Digital,2023-05-24,1394000.0,48,10.89,1,Delinquent,344024.0
L200037,C103555,Personal Loan,Partner,2024-02-17,419000.0,84,19.39,15,Delinquent,263434.0
L200038,C104378,Home Loan,Branch,2025-02-19,5038000.0,48,8.95,12,Delinquent,3020226.0
L200039,C103395,Auto Loan,Digital,2024-09-28,969000.0,84,9.99,11,Delinquent,681489.0
L200040,C102642,Auto Loan,Branch,2023-12-29,538000.0,36,12.13,2,Delinquent,141509.0
L200041,C103481,Education Loan,Branch,2023-02-05,520000.0,60,8.62,5,Delinquent,129586.0
L200042,C102059,Home Loan,Digital,2024-10-20,3228000.0,60,9.68,5,Delinquent,1888269.0
L200043,C101355,Personal Loan,Branch,2024-02-23,377000.0,60,20.05,1,Delinquent,180817.0
L200044,C103749,Personal Loan,Digital,2026-01-10,614000.0,36,21.46,10,Delinquent,467219.0
L200045,C100676,Education Loan,Branch,2023-02-22,988000.0,36,12.52,9,Delinquent,143916.0
L200046,C104526,Auto Loan,Digital,2025-03-30,1183000.0,60,11.04,1,Delinquent,845351.0
L200047,C102143,Business Loan,Branch,2024-04-04,1108000.0,120,10.7,9,Delinquent,809700.0
L200048,C104088,Auto Loan,Partner,2023-11-18,1102000.0,48,11.66,2,Delinquent,316230.0
L200049,C100495,Education Loan,Digital,2025-05-06,971000.0,48,11.85,5,Delinquent,667941.0
L200050,C102475,Home Loan,DSA,2024-09-09,5967000.0,12,8.29,12,Delinquent,1241860.0
L200051,C102110,Education Loan,Digital,2023-03-31,640000.0,12,9.34,5,Delinquent,60808.0
L200052,C101783,Business Loan,Branch,2024-12-23,1216000.0,60,15.68,79,Delinquent,881627.0
L200053,C102560,Business Loan,DSA,2023-08-03,2055000.0,24,11.6,6,Delinquent,441963.0
L200054,C103311,Education Loan,Branch,2025-10-17,192000.0,36,11.79,0,Current,146815.0
L200055,C104710,Home Loan,Digital,2023-10-17,2544000.0,12,9.3,9,Delinquent,583640.0
L200056,C104085,Business Loan,Digital,2025-08-10,1888000.0,84,12.49,45,Delinquent,1727191.0
L200057,C101158,Auto Loan,DSA,2024-01-30,732000.0,24,14.16,6,Delinquent,58560.0
L200058,C104894,Business Loan,Partner,2024-01-14,1616000.0,84,15.68,14,Delinquent,874120.0
L200059,C102492,Business Loan,Branch,2023-01-03,2105000.0,48,12.23,12,Delinquent,197578.0
L200060,C102287,Business Loan,Digital,2026-01-08,311000.0,84,12.83,164,NPL,293847.0
L200061,C100056,Home Loan,Digital,2024-10-24,1310000.0,48,8.73,135,NPL,720085.0
L200062,C103342,Business Loan,DSA,2023-06-26,1946000.0,24,14.83,9,Delinquent,302463.0
L200063,C104435,Business Loan,Partner,2023-02-11,2058000.0,120,12.83,16,Delinquent,1409829.0
L200064,C101466,Auto Loan,Digital,2023-11-28,183000.0,84,11.62,112,NPL,100978.0
L200065,C104337,Home Loan,Branch,2024-08-14,1585000.0,60,9.17,8,Delinquent,884260.0
L200066,C100438,Business Loan,DSA,2023-02-10,911000.0,60,13.66,5,Delinquent,182070.0
L200067,C104835,Business Loan,Digital,2024-03-09,2726000.0,120,16.41,11,Delinquent,2316860.0
L200068,C101266,Home Loan,Partner,2024-01-09,5209000.0,120,9.82,3,Delinquent,3931282.0
L200069,C102407,Auto Loan,Digital,2025-11-13,188000.0,24,14.29,8,Delinquent,127568.0
L200070,C100073,Auto Loan,Partner,2024-05-11,999000.0,60,10.53,1,Delinquent,530956.0
L200071,C104492,Auto Loan,Branch,2023-05-06,474000.0,120,10.6,14,Delinquent,340307.0
L200072,C102548,Personal Loan,DSA,2023-10-17,822000.0,12,21.83,11,Delinquent,67711.0
L200073,C104854,Personal Loan,Branch,2025-09-18,265000.0,84,11.85,10,Delinquent,238127.0
L200074,C101866,Business Loan,Digital,2023-01-16,641000.0,48,17.42,57,Delinquent,89822.0
L200075,C100300,Education Loan,Partner,2023-06-09,173000.0,12,12.98,4,Delinquent,28723.0
L200076,C103392,Home Loan,Digital,2023-01-13,4418000.0,60,10.61,4,Delinquent,1217130.0
L200077,C100816,Business Loan,DSA,2023-03-01,2920000.0,36,13.26,3,Delinquent,493534.0
L200078,C103077,Home Loan,Branch,2026-01-13,5589000.0,120,9.29,5,Delinquent,4745583.0
L200079,C100175,Personal Loan,Branch,2026-04-03,392000.0,120,20.37,1,Delinquent,364002.0
L200080,C100840,Auto Loan,Digital,2025-05-31,1405000.0,24,12.5,9,Delinquent,616896.0
L200081,C103190,Personal Loan,Digital,2023-04-21,894000.0,84,11.66,21,Delinquent,550345.0
L200082,C103370,Personal Loan,Branch,2025-04-18,373000.0,36,18.44,2,Delinquent,195579.0
L200083,C100762,Education Loan,DSA,2025-07-16,824000.0,24,10.71,11,Delinquent,414810.0
L200084,C100938,Home Loan,DSA,2025-07-31,3081000.0,84,11.37,20,Delinquent,2722287.0
L200085,C104293,Personal Loan,Branch,2025-06-15,407000.0,48,13.61,3,Delinquent,295800.0
L200086,C100030,Home Loan,Branch,2025-04-13,2186000.0,60,9.37,9,Delinquent,1772989.0
L200087,C101151,Auto Loan,Digital,2024-06-14,1533000.0,24,13.14,5,Delinquent,190925.0
L200088,C104851,Auto Loan,Digital,2023-03-15,879000.0,48,9.57,58,Delinquent,171674.0
L200089,C102738,Personal Loan,Partner,2025-09-15,651000.0,84,20.04,7,Delinquent,562385.0
L200090,C100135,Home Loan,Digital,2026-01-15,1672000.0,84,11.16,11,Delinquent,1668406.0
L200091,C104463,Auto Loan,Branch,2024-08-23,1042000.0,120,9.47,1,Delinquent,804655.0
L200092,C101709,Auto Loan,DSA,2024-05-29,880000.0,12,11.09,7,Delinquent,141042.0
L200093,C103577,Education Loan,Branch,2026-01-06,440000.0,84,10.25,13,Delinquent,373455.0
L200094,C103188,Home Loan,Digital,2024-06-28,4179000.0,36,8.88,0,Current,1071619.0
L200095,C101836,Business Loan,Digital,2024-03-20,2501000.0,84,13.4,121,NPL,1839982.0
L200096,C101852,Education Loan,Partner,2025-11-29,707000.0,36,10.94,11,Delinquent,530611.0
L200097,C102751,Personal Loan,DSA,2026-01-17,669000.0,24,12.39,12,Delinquent,476375.0
L200098,C101907,Personal Loan,Branch,2023-09-03,591000.0,12,17.88,8,Delinquent,116385.0
L200099,C100871,Auto Loan,Digital,2023-11-27,1606000.0,120,10.88,5,Delinquent,1105995.0
L200100,C103614,Business Loan,Branch,2024-01-11,1393000.0,120,17.71,0,Current,1030534.0
L200101,C103372,Personal Loan,Branch,2023-07-11,664000.0,36,15.66,58,Delinquent,88423.0
L200102,C103011,Personal Loan,Digital,2025-10-23,288000.0,120,12.8,4,Delinquent,269979.0
L200103,C103709,Auto Loan,Digital,2026-03-14,423000.0,84,9.62,9,Delinquent,412848.0
L200104,C102592,Business Loan,DSA,2024-09-15,408000.0,60,13.11,6,Delinquent,255419.0
L200105,C104642,Personal Loan,Branch,2025-05-03,168000.0,48,15.05,5,Delinquent,97838.0
L200106,C104432,Personal Loan,Digital,2024-05-19,701000.0,36,12.33,11,Delinquent,175386.0
L200107,C104906,Personal Loan,Partner,2026-04-09,687000.0,84,17.82,2,Delinquent,634266.0
L200108,C100541,Education Loan,Digital,2026-02-19,865000.0,60,8.55,11,Delinquent,728607.0
L200109,C100510,Auto Loan,Digital,2025-06-18,324000.0,120,9.92,16,Delinquent,238906.0
L200110,C102349,Home Loan,DSA,2025-12-02,3884000.0,120,10.99,14,Delinquent,3461024.0
L200111,C103463,Business Loan,DSA,2023-06-11,2444000.0,120,15.88,29,Delinquent,1841124.0
L200112,C101196,Home Loan,Digital,2025-11-30,5547000.0,120,8.93,0,Current,5268796.0
L200113,C100576,Business Loan,Partner,2024-05-26,1005000.0,60,14.45,1,Delinquent,600980.0
L200114,C100185,Personal Loan,Branch,2023-09-12,413000.0,36,16.88,9,Delinquent,63422.0
L200115,C102774,Personal Loan,Branch,2026-01-22,432000.0,48,18.8,0,Current,404590.0
L200116,C104896,Home Loan,Digital,2025-10-09,2281000.0,60,10.15,101,NPL,1925864.0
L200117,C102324,Personal Loan,Branch,2023-06-11,693000.0,48,19.18,77,Delinquent,156527.0
L200118,C103671,Business Loan,Branch,2025-02-27,2922000.0,24,14.99,13,Delinquent,779378.0
L200119,C100259,Home Loan,Branch,2025-11-24,4619000.0,84,10.48,12,Delinquent,4158572.0
L200120,C101081,Personal Loan,DSA,2025-04-09,61000.0,60,14.35,10,Delinquent,44008.0
L200121,C103402,Business Loan,Digital,2024-08-01,2812000.0,24,17.35,2,Delinquent,534562.0
L200122,C102013,Home Loan,DSA,2023-02-27,3851000.0,24,10.3,15,Delinquent,756961.0
L200123,C100133,Home Loan,Branch,2024-08-18,5462000.0,84,9.58,15,Delinquent,3987445.0
L200124,C101131,Personal Loan,Digital,2024-10-28,351000.0,84,13.58,16,Delinquent,273581.0
L200125,C103966,Education Loan,Branch,2025-10-08,255000.0,120,11.47,10,Delinquent,232963.0
L200126,C103425,Auto Loan,Branch,2023-09-20,1738000.0,60,14.81,44,Delinquent,767934.0
L200127,C104048,Business Loan,DSA,2023-09-05,830000.0,84,13.95,20,Delinquent,498549.0
L200128,C101753,Business Loan,Branch,2026-01-17,2451000.0,12,17.04,11,Delinquent,978937.0
L200129,C104645,Home Loan,DSA,2025-10-02,4496000.0,48,9.48,13,Delinquent,3085628.0
L200130,C104600,Personal Loan,DSA,2024-11-04,596000.0,48,20.02,3,Delinquent,364948.0
L200131,C101838,Auto Loan,Digital,2024-06-18,1434000.0,12,13.56,83,Delinquent,213471.0
L200132,C101038,Personal Loan,Digital,2025-01-10,792000.0,48,19.94,9,Delinquent,473758.0
L200133,C104810,Education Loan,Partner,2023-07-02,894000.0,12,12.39,3,Delinquent,115767.0
L200134,C101750,Personal Loan,Branch,2023-10-19,588000.0,120,12.96,3,Delinquent,414206.0
L200135,C102481,Personal Loan,Partner,2024-10-12,872000.0,12,12.55,1,Delinquent,167066.0
L200136,C104660,Auto Loan,Branch,2024-05-20,1493000.0,48,9.14,8,Delinquent,619505.0
L200137,C101346,Home Loan,Digital,2023-08-02,5518000.0,84,11.42,1,Delinquent,3079242.0
L200138,C104424,Auto Loan,Partner,2024-09-27,813000.0,12,14.0,9,Delinquent,99087.0
L200139,C100804,Business Loan,Branch,2025-02-22,1633000.0,36,16.54,2,Delinquent,953334.0
L200140,C101466,Business Loan,DSA,2025-09-01,2640000.0,84,10.79,11,Delinquent,2397406.0
L200141,C101942,Business Loan,Digital,2025-01-25,2903000.0,48,16.14,35,Delinquent,2118054.0
L200142,C102416,Home Loan,Partner,2025-01-03,5633000.0,120,10.58,94,NPL,4732084.0
L200143,C101216,Home Loan,Branch,2024-10-29,3392000.0,12,10.5,5,Delinquent,491693.0
L200144,C104419,Business Loan,Digital,2023-05-16,569000.0,48,15.79,7,Delinquent,125328.0
L200145,C103324,Personal Loan,Branch,2024-04-06,725000.0,60,17.37,8,Delinquent,350874.0
L200146,C103354,Personal Loan,Branch,2024-06-24,797000.0,120,16.86,13,Delinquent,665031.0
L200147,C103659,Personal Loan,DSA,2024-09-20,439000.0,48,12.87,13,Delinquent,235357.0
L200148,C103187,Auto Loan,DSA,2023-12-21,1223000.0,36,12.26,51,Delinquent,239641.0
L200149,C103219,Auto Loan,DSA,2025-06-11,1588000.0,24,14.88,5,Delinquent,619550.0
L200150,C103303,Personal Loan,DSA,2024-10-08,435000.0,36,14.14,31,Delinquent,163373.0
L200151,C103603,Personal Loan,DSA,2024-01-02,54000.0,24,16.62,7,Delinquent,8961.0
L200152,C104605,Personal Loan,Digital,2024-07-17,712000.0,120,12.95,45,Delinquent,577133.0
L200153,C100983,Home Loan,Branch,2025-05-01,5266000.0,24,11.48,12,Delinquent,1822593.0
L200154,C102586,Personal Loan,DSA,2023-01-27,79000.0,36,21.44,0,Current,15759.0
L200155,C100922,Business Loan,Digital,2024-02-14,471000.0,12,16.98,11,Delinquent,77854.0
L200156,C100909,Education Loan,Branch,2023-09-07,259000.0,120,11.95,23,Delinquent,190008.0
L200157,C104750,Business Loan,Digital,2024-01-21,1916000.0,36,13.62,1,Delinquent,156754.0
L200158,C102364,Business Loan,Branch,2025-03-03,2524000.0,120,12.62,74,Delinquent,1957174.0
L200159,C103522,Education Loan,DSA,2023-09-14,162000.0,48,8.92,9,Delinquent,37617.0
L200160,C103645,Business Loan,Branch,2024-10-15,764000.0,48,17.84,12,Delinquent,440549.0
L200161,C100159,Auto Loan,Digital,2024-03-28,1309000.0,84,13.55,173,NPL,888894.0
L200162,C102461,Business Loan,DSA,2023-03-05,2055000.0,84,13.03,1,Delinquent,1197830.0
L200163,C100902,Auto Loan,Partner,2025-11-28,176000.0,120,13.34,8,Delinquent,159808.0
L200164,C101567,Home Loan,Digital,2024-12-18,4852000.0,84,9.11,8,Delinquent,3758563.0
L200165,C100942,Personal Loan,Partner,2023-12-23,862000.0,120,14.9,10,Delinquent,592061.0
L200166,C103332,Auto Loan,Digital,2024-08-26,578000.0,36,11.12,37,Delinquent,234076.0
L200167,C100661,Business Loan,Branch,2026-03-30,999000.0,12,16.61,7,Delinquent,629489.0
L200168,C102252,Auto Loan,Digital,2023-06-30,1348000.0,48,12.02,7,Delinquent,351153.0
L200169,C101529,Home Loan,Digital,2025-10-18,2381000.0,24,10.75,56,Delinquent,1446040.0
L200170,C104815,Auto Loan,Branch,2023-01-03,355000.0,120,14.11,0,Current,217278.0
L200171,C103941,Business Loan,Digital,2025-11-03,1017000.0,84,17.47,9,Delinquent,855818.0
L200172,C101761,Business Loan,Branch,2024-02-07,2456000.0,48,11.09,3,Delinquent,980192.0
L200173,C101467,Home Loan,DSA,2023-12-22,2395000.0,60,9.49,23,Delinquent,1083404.0
L200174,C103588,Personal Loan,Digital,2025-07-24,85000.0,36,12.35,6,Delinquent,46901.0
L200175,C103158,Home Loan,Branch,2023-07-16,2433000.0,84,11.33,0,Current,1617052.0
L200176,C102776,Business Loan,Digital,2023-06-09,1523000.0,12,17.71,58,Delinquent,265710.0
L200177,C100361,Personal Loan,Partner,2024-07-14,654000.0,84,20.58,47,Delinquent,485176.0
L200178,C100388,Business Loan,Partner,2026-02-07,594000.0,36,14.1,14,Delinquent,480505.0
L200179,C103182,Personal Loan,Partner,2024-02-02,620000.0,48,20.72,8,Delinquent,192072.0
L200180,C102349,Education Loan,Partner,2024-10-12,1095000.0,48,9.48,49,Delinquent,573467.0
L200181,C104148,Home Loan,Branch,2024-04-22,4937000.0,120,9.08,5,Delinquent,4116381.0
L200182,C100146,Auto Loan,Digital,2025-06-29,267000.0,48,10.78,6,Delinquent,180489.0
L200183,C100931,Auto Loan,Digital,2025-12-15,1318000.0,12,14.09,46,Delinquent,489580.0
L200184,C103950,Business Loan,Partner,2026-03-18,1676000.0,84,11.57,5,Delinquent,1525044.0
L200185,C104896,Business Loan,Branch,2023-11-19,1081000.0,120,11.5,12,Delinquent,764808.0
L200186,C103673,Personal Loan,Digital,2023-11-12,319000.0,120,13.27,20,Delinquent,252037.0
L200187,C100064,Personal Loan,Branch,2026-01-14,706000.0,24,17.59,46,Delinquent,541854.0
L200188,C100253,Personal Loan,Partner,2024-11-30,595000.0,36,18.14,9,Delinquent,275279.0
L200189,C104392,Auto Loan,Branch,2024-01-29,243000.0,24,12.2,11,Delinquent,43552.0
L200190,C102499,Auto Loan,Partner,2024-02-13,724000.0,84,14.05,3,Delinquent,435553.0
L200191,C102485,Personal Loan,Partner,2023-07-31,801000.0,60,17.98,141,NPL,377672.0
L200192,C104808,Business Loan,Branch,2023-04-12,662000.0,60,10.69,15,Delinquent,207776.0
L200193,C101240,Personal Loan,DSA,2024-02-20,398000.0,120,19.16,30,Delinquent,318047.0
L200194,C101424,Personal Loan,Branch,2025-08-10,333000.0,84,17.8,13,Delinquent,317353.0
L200195,C103431,Home Loan,Digital,2025-03-02,5683000.0,12,10.39,6,Delinquent,651906.0
L200196,C104522,Business Loan,Branch,2023-01-15,2916000.0,36,15.17,3,Delinquent,258150.0
L200197,C101830,Personal Loan,Digital,2023-02-23,425000.0,120,21.42,11,Delinquent,283974.0
L200198,C100756,Business Loan,Branch,2025-11-08,2384000.0,48,15.9,44,Delinquent,1953260.0
L200199,C100282,Auto Loan,DSA,2025-08-10,1727000.0,36,9.07,3,Delinquent,1196494.0
L200200,C100034,Auto Loan,DSA,2025-08-11,1527000.0,36,9.51,13,Delinquent,977178.0
L200201,C101872,Personal Loan,Digital,2025-10-31,380000.0,60,13.57,140,NPL,314193.0
L200202,C102653,Business Loan,Branch,2025-02-05,1267000.0,60,14.48,3,Delinquent,862090.0
L200203,C102447,Business Loan,Branch,2024-02-10,1568000.0,48,15.3,15,Delinquent,655870.0
L200204,C101197,Home Loan,Branch,2024-12-10,1307000.0,24,9.35,10,Delinquent,268605.0
L200205,C103383,Personal Loan,Partner,2025-02-09,88000.0,12,12.41,12,Delinquent,13757.0
L200206,C104397,Home Loan,Digital,2025-10-11,2943000.0,36,11.29,137,NPL,2553628.0
L200207,C101165,Home Loan,DSA,2024-09-29,4487000.0,36,8.35,4,Delinquent,1997434.0
L200208,C103370,Personal Loan,Partner,2023-03-08,154000.0,48,17.88,117,NPL,17265.0
L200209,C102725,Auto Loan,Branch,2025-01-16,1718000.0,12,9.29,32,Delinquent,243213.0
L200210,C103435,Personal Loan,Digital,2025-06-02,536000.0,84,21.55,10,Delinquent,496288.0
L200211,C100074,Business Loan,Partner,2026-02-08,1272000.0,24,15.23,125,NPL,934365.0
L200212,C103367,Home Loan,Digital,2023-08-05,1659000.0,60,11.11,54,Delinquent,889553.0
L200213,C103737,Auto Loan,Branch,2025-10-29,1522000.0,48,9.68,10,Delinquent,1250448.0
L200214,C103395,Education Loan,DSA,2023-01-25,709000.0,48,9.02,10,Delinquent,135288.0
L200215,C104203,Home Loan,Partner,2025-05-26,2508000.0,120,10.81,3,Delinquent,2215266.0
L200216,C103736,Personal Loan,DSA,2024-01-10,616000.0,12,15.74,0,Current,49280.0
L200217,C104925,Auto Loan,DSA,2023-05-21,215000.0,36,13.31,44,Delinquent,42079.0
L200218,C103350,Home Loan,DSA,2024-01-28,2043000.0,12,11.41,32,Delinquent,245255.0
L200219,C102232,Business Loan,Digital,2024-10-24,1692000.0,84,17.83,2,Delinquent,1288642.0
L200220,C104172,Business Loan,Branch,2023-08-20,2052000.0,36,11.33,7,Delinquent,438042.0
L200221,C103474,Auto Loan,Partner,2024-10-22,544000.0,48,10.18,5,Delinquent,308982.0
L200222,C102791,Education Loan,Branch,2025-05-03,1077000.0,12,8.6,0,Current,100855.0
L200223,C102894,Personal Loan,DSA,2025-11-17,334000.0,60,16.09,77,Delinquent,280601.0
L200224,C101754,Personal Loan,Digital,2024-11-01,266000.0,24,15.25,28,Delinquent,21280.0
L200225,C103069,Personal Loan,DSA,2024-12-22,872000.0,12,16.75,10,Delinquent,108072.0
L200226,C102335,Auto Loan,DSA,2026-01-09,426000.0,120,10.7,11,Delinquent,405652.0
L200227,C100656,Personal Loan,DSA,2023-02-11,571000.0,48,12.58,6,Delinquent,89952.0
L200228,C102202,Personal Loan,Branch,2025-07-03,292000.0,24,21.7,0,Current,134213.0
L200229,C104750,Education Loan,Digital,2026-03-18,274000.0,36,8.84,13,Delinquent,237052.0
L200230,C101663,Personal Loan,Branch,2025-09-18,499000.0,84,13.13,4,Delinquent,441005.0
L200231,C103387,Personal Loan,Branch,2026-01-12,280000.0,48,13.62,26,Delinquent,229165.0
L200232,C102078,Personal Loan,Digital,2025-12-19,357000.0,60,20.82,10,Delinquent,299414.0
L200233,C101429,Personal Loan,Partner,2024-12-07,366000.0,36,13.1,9,Delinquent,149771.0
L200234,C101925,Personal Loan,Partner,2025-08-25,79000.0,12,18.03,2,Delinquent,24499.0
L200235,C104796,Personal Loan,Digital,2024-03-12,398000.0,12,17.65,0,Current,76354.0
L200236,C100556,Personal Loan,DSA,2023-05-22,272000.0,24,16.61,3,Delinquent,69457.0
L200237,C103340,Business Loan,Branch,2023-04-12,2550000.0,120,17.39,70,Delinquent,1617012.0
L200238,C104153,Home Loan,Branch,2023-08-11,2011000.0,12,8.99,6,Delinquent,211570.0
L200239,C100927,Auto Loan,DSA,2025-05-18,917000.0,12,12.74,11,Delinquent,82459.0
L200240,C103783,Auto Loan,DSA,2024-04-27,574000.0,12,12.47,3,Delinquent,64614.0
L200241,C103184,Business Loan,DSA,2025-08-31,1217000.0,84,14.33,4,Delinquent,1012674.0
L200242,C101688,Business Loan,Branch,2024-02-03,2044000.0,120,15.74,2,Delinquent,1476560.0
L200243,C100884,Home Loan,Digital,2025-08-07,4229000.0,48,9.74,2,Delinquent,3100924.0
L200244,C104726,Personal Loan,Branch,2025-11-28,668000.0,120,13.16,82,Delinquent,635687.0
L200245,C100986,Personal Loan,DSA,2024-01-28,798000.0,36,19.53,10,Delinquent,150143.0
L200246,C104747,Personal Loan,Branch,2024-09-21,599000.0,120,20.74,26,Delinquent,507473.0
L200247,C103241,Business Loan,Digital,2024-10-05,1986000.0,48,14.36,39,Delinquent,1351834.0
L200248,C104284,Auto Loan,Digital,2025-11-17,734000.0,36,14.41,10,Delinquent,551283.0
L200249,C101482,Personal Loan,Branch,2024-03-25,392000.0,120,14.1,19,Delinquent,336391.0
L200250,C100147,Personal Loan,Digital,2024-04-09,683000.0,12,14.11,5,Delinquent,137283.0
L200251,C103278,Business Loan,DSA,2025-07-19,1260000.0,12,13.84,2,Delinquent,255297.0
L200252,C101857,Home Loan,Branch,2025-12-23,2581000.0,84,10.35,6,Delinquent,2400876.0
L200253,C102752,Personal Loan,Digital,2023-02-04,498000.0,120,16.69,6,Delinquent,324663.0
L200254,C102287,Business Loan,Partner,2023-03-28,2792000.0,24,12.41,41,Delinquent,682399.0
L200255,C101608,Auto Loan,Branch,2026-01-25,1164000.0,60,13.41,6,Delinquent,1164000.0
L200256,C103594,Home Loan,Branch,2024-06-18,3313000.0,24,10.44,28,Delinquent,531979.0
L200257,C102505,Home Loan,DSA,2024-11-01,3439000.0,24,10.11,46,Delinquent,490245.0
L200258,C103175,Auto Loan,Digital,2025-12-17,640000.0,48,14.2,146,NPL,529542.0
L200259,C103361,Personal Loan,Partner,2024-04-21,79000.0,120,11.55,53,Delinquent,62071.0
L200260,C103392,Education Loan,Branch,2024-06-23,344000.0,12,11.84,15,Delinquent,31636.0
L200261,C101652,Business Loan,Partner,2025-10-13,2205000.0,120,14.19,15,Delinquent,1830288.0
L200262,C103837,Auto Loan,Digital,2025-05-29,229000.0,12,12.07,1,Delinquent,30168.0
L200263,C101098,Auto Loan,Branch,2025-04-12,1500000.0,120,10.81,2,Delinquent,1263543.0
L200264,C104743,Education Loan,Digital,2024-03-09,528000.0,48,11.58,13,Delinquent,190474.0
L200265,C104047,Personal Loan,Digital,2025-04-22,629000.0,84,15.92,7,Delinquent,519078.0
L200266,C102758,Personal Loan,Branch,2025-09-22,467000.0,60,16.64,111,NPL,407796.0
L200267,C100902,Business Loan,Branch,2025-12-31,2933000.0,84,15.99,2,Delinquent,2748993.0
L200268,C104521,Personal Loan,Branch,2025-01-27,466000.0,60,20.76,9,Delinquent,341377.0
L200269,C102773,Auto Loan,Digital,2025-11-12,295000.0,24,10.22,6,Delinquent,185256.0
L200270,C104075,Home Loan,Branch,2025-09-01,1270000.0,12,8.38,7,Delinquent,206255.0
L200271,C100138,Personal Loan,Branch,2025-05-27,472000.0,84,21.21,127,NPL,420776.0
L200272,C101690,Personal Loan,Branch,2024-10-05,716000.0,12,20.54,1,Delinquent,72968.0
L200273,C101499,Business Loan,DSA,2024-06-05,2806000.0,84,14.1,178,NPL,1954841.0
L200274,C104069,Personal Loan,Partner,2025-02-04,82000.0,24,13.03,2,Delinquent,21033.0
L200275,C102323,Personal Loan,Branch,2025-11-28,194000.0,60,19.8,15,Delinquent,164044.0
L200276,C100587,Home Loan,Partner,2024-09-26,4232000.0,36,10.44,14,Delinquent,1627190.0
L200277,C103076,Personal Loan,DSA,2025-04-19,475000.0,120,12.85,13,Delinquent,434411.0
L200278,C100794,Auto Loan,Partner,2024-11-11,285000.0,84,13.65,7,Delinquent,202221.0
